 	ancora	non	mi	sono	vestito	</S>
a8	0.10224965	0.036832824	0.053916376	0.107160546	0.53264177	0.16719887
a31	0.003078556	0.8266721	0.16772135	0.001146118	0.0013246824	5.7235196e-05
a10	0.16443129	0.71506566	0.09603612	0.009962875	0.013691165	0.0008129466
a31	0.35421124	0.26694813	0.29611543	0.021246068	0.041242853	0.020236177
a18	0.24143761	0.33484912	0.38384748	0.025899304	0.0075947344	0.00637176
a31	0.47851992	0.24707378	0.14478746	0.10679852	0.019031292	0.0037890968
a20	0.24506867	0.2576284	0.13597162	0.11888322	0.09488683	0.14756128
a31	0.16972098	0.22384539	0.059267387	0.115135394	0.29393432	0.13809659
a13	0.086338766	0.090696156	0.0789473	0.18549685	0.4850742	0.07344672
a35	0.06807001	0.076194905	0.056014586	0.19987498	0.51135737	0.08848813
a39	0.045110133	0.046969514	0.04314142	0.17583817	0.6266895	0.0622513
a46	0.06907768	0.070585154	0.06650442	0.1643614	0.4710988	0.15837248
a31	0.08377097	0.08516875	0.08076836	0.12794675	0.2518327	0.37051252
a20	0.12884535	0.12894592	0.12877864	0.1380827	0.11272607	0.3626214
a31	0.08732436	0.08776474	0.08665589	0.106789514	0.13363227	0.4978332
a39	0.119665235	0.11964883	0.11997798	0.1238698	0.099552825	0.41728535
a31	0.07930797	0.07958188	0.07891752	0.09050155	0.10572251	0.5659685
</S>	0.10475642	0.10474521	0.10491093	0.10771817	0.09836735	0.4795018
