 	il	lenzuolo	vuole	lavato	</S>
a31	0.076452516	0.8707199	0.011987994	0.039250296	0.0015891913
a7	0.13169943	0.68339	0.0019585446	0.16514446	0.017807499
a31	0.0152535485	0.9282059	0.0038913246	0.044754393	0.007894864
a0	0.010432591	0.8938088	0.0022733107	0.05354673	0.03993853
a17	0.029630207	0.21775594	0.016467262	0.48975825	0.24638838
a13	0.052657172	0.4907029	0.020420961	0.40093902	0.035279907
a31	0.23650154	0.63962775	0.015538715	0.09526923	0.013062711
a17	0.049336173	0.12610435	0.111079484	0.6723757	0.04110439
a8	0.056039184	0.06486629	0.28115284	0.5248915	0.0730502
a31	0.09772251	0.09274121	0.32519937	0.20015508	0.28418186
a24	0.14694938	0.14623639	0.15820687	0.14892517	0.39968222
a46	0.16739097	0.13812572	0.34639713	0.15770702	0.19037917
a24	0.28146204	0.16309911	0.36303735	0.090078	0.102323584
a37	0.43081605	0.15233697	0.2766374	0.07086972	0.06933982
a31	0.1914989	0.11505148	0.41162938	0.09907362	0.18274665
</S>	0.15490556	0.14396708	0.21623667	0.14550328	0.3393874
