 	aveva	lavorato	tutta	la	settimana	</S>
a31	0.8731285	0.0010063831	0.010195394	0.08271399	0.019888677	0.013067071
a20	0.27541548	0.14101678	0.00012923304	0.05319003	0.52436537	0.0058831344
a31	0.63860893	0.22996987	4.0082206e-05	0.04277637	0.08360367	0.0050009843
a28	0.63447404	0.10278856	0.0002216186	0.015308165	0.22225873	0.024948888
a31	0.3453132	0.15756243	0.00052626093	0.09372935	0.39608148	0.006787334
a13	0.3588186	0.053081002	0.00040555626	0.07890187	0.5057543	0.003038622
a18	0.6815503	0.04038129	0.0008330941	0.0687924	0.20396774	0.0044751307
a31	0.405567	0.051699556	0.001259017	0.11423996	0.37392142	0.053313024
a27	0.06124877	0.02805348	0.010247364	0.21804081	0.6529792	0.029430406
a31	0.0239541	0.013005153	0.009130751	0.4470276	0.45841753	0.048464805
a20	0.060702596	0.05620424	0.05445858	0.21790488	0.37025616	0.24047352
a31	0.0744042	0.072673135	0.07085859	0.2443978	0.29923958	0.23842669
a39	0.1324637	0.13131665	0.13069393	0.19399448	0.14316803	0.2683632
a31	0.108780354	0.107433416	0.10694156	0.17203693	0.15603377	0.34877402
a33	0.11920635	0.11873677	0.11858654	0.13675462	0.10556133	0.40115446
</S>	0.054811437	0.054593258	0.054293726	0.08769951	0.13401657	0.6145855
