 	sto	ancora	cucinando	</S>
a20	0.29967868	0.40524873	0.002259468	0.2928131
a31	0.0018824913	0.9981018	2.7551923e-06	1.2918777e-05
a37	0.45775923	0.54115	0.000341901	0.0007489212
a20	0.29336947	0.6542745	0.0030509864	0.049305107
a31	0.4653397	0.5295948	0.0005090938	0.0045564403
a30	0.7276968	0.25579262	0.0018046178	0.014706005
a46	0.28550795	0.5065336	0.0033175307	0.20464085
a31	0.26049614	0.4748536	0.027605746	0.23704448
a39	0.2948401	0.31730974	0.16318768	0.22466254
a15	0.31263766	0.3159373	0.16727462	0.20415038
a20	0.33532783	0.3504797	0.12496382	0.18922856
a22	0.37344998	0.4033029	0.12150928	0.10173778
a31	0.34463623	0.38266498	0.079382986	0.19331586
a46	0.2309404	0.23097241	0.19516505	0.34292215
</S>	0.25457987	0.2576745	0.19350834	0.29423726
