 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a23	0.0122278165	0.27756462	0.03034228	0.0012608821	0.00011401086	0.00012936149	0.0004507261	0.23116978	0.43917188	0.0022814886	0.005287163
a31	0.015808268	0.3055727	0.45156947	0.14164859	0.005249762	0.015814558	0.040483896	0.005432519	0.017835204	0.00015475415	0.0004303101
a20	0.021535678	0.017742869	0.02319757	0.020642383	0.09642927	0.17488253	0.2735561	0.013011872	0.2974393	0.015708296	0.04585406
a31	0.1243077	0.069143474	0.2864161	0.24662273	0.08812001	0.16064264	0.02265962	0.0009575762	0.00027846842	0.00018556534	0.00066610094
a7	0.17203704	0.19225521	0.33220735	0.23169716	0.016668528	0.03531279	0.01313058	0.005473011	0.00046680626	5.9218797e-05	0.00069239567
a31	0.15633927	0.17737125	0.22432563	0.30497172	0.01892984	0.089531764	0.012993364	0.012742681	0.0025134466	3.1873762e-05	0.0002492029
a24	0.10199536	0.17150506	0.199281	0.14280678	0.028894015	0.15437002	0.035193186	0.11733239	0.04729323	0.00016870303	0.0011601985
a37	0.05048209	0.14646763	0.18493678	0.20494935	0.008223221	0.21623453	0.044814378	0.09835087	0.043895558	6.696017e-05	0.0015786169
a31	0.044215214	0.14670679	0.18596433	0.1093236	0.015820006	0.15794766	0.07847198	0.15722954	0.10138659	0.0005016483	0.0024326793
a11	0.011858094	0.047930732	0.07604345	0.060653105	0.010407124	0.14525281	0.1554142	0.32182845	0.16836044	0.0004892454	0.0017623923
a31	0.015470786	0.053440567	0.111861445	0.08852093	0.005257202	0.11868834	0.18843955	0.2623433	0.1538908	0.00036272194	0.0017243057
a3	0.010349416	0.019239405	0.032658152	0.04202685	0.010246563	0.07358755	0.3442759	0.33532295	0.12596904	0.00048119796	0.00584298
a27	0.02464959	0.040651396	0.05814529	0.04594708	0.01334725	0.0616168	0.36795926	0.19370452	0.1855254	0.00087295106	0.007580462
a20	0.03402804	0.056223005	0.08064643	0.06305865	0.018584676	0.054828756	0.42188916	0.12733974	0.13168125	0.00084412994	0.010876156
a31	0.03800741	0.048126053	0.059844963	0.05972241	0.031866264	0.0637813	0.39388028	0.12640077	0.10949872	0.0013345163	0.06753737
a20	0.053772423	0.056955356	0.060461327	0.062011104	0.05178695	0.0643874	0.15526654	0.09769994	0.09730917	0.0050019934	0.29534778
a11	0.06495284	0.0694395	0.07263294	0.06827859	0.060245294	0.06662571	0.10576524	0.08557414	0.099991724	0.005368495	0.3011255
a13	0.056844387	0.060119137	0.06207794	0.05778021	0.052990884	0.05367798	0.05270057	0.05900421	0.06713914	0.019661454	0.45800415
a28	0.062384017	0.06987901	0.074436	0.06427208	0.05384998	0.054775223	0.050509617	0.06035922	0.07122998	0.017940734	0.4203641
a31	0.04957394	0.050260987	0.050642982	0.049726263	0.04870916	0.04837915	0.044275902	0.049737625	0.053340252	0.034387153	0.52096653
a39	0.04976256	0.050235976	0.050501008	0.049868003	0.049169723	0.049131908	0.047676772	0.05040633	0.052676838	0.036026914	0.51454395
a31	0.050265387	0.05176938	0.052650116	0.050615452	0.048463378	0.048853137	0.0493376	0.0509289	0.053458605	0.03248986	0.5111682
a8	0.056169428	0.056407727	0.056541003	0.056222923	0.05587251	0.055854708	0.05509494	0.056482	0.057692807	0.045479577	0.44818243
</S>	0.053862456	0.054684807	0.05517526	0.05409056	0.052883375	0.053354148	0.055841208	0.054859925	0.056006905	0.029774161	0.4794672
