 	avete	cucinato	le	verdure	</S>
a29	0.18965	0.25876585	0.5257882	0.01415391	0.0116420975
a38	0.00793772	0.1019585	0.8889744	0.00029930123	0.0008300741
a31	0.46766227	0.3165058	0.21391322	0.0011782794	0.0007403871
a11	0.29995912	0.21639217	0.454578	0.0012916155	0.027779179
a37	0.0531525	0.19516389	0.7503769	0.0009836431	0.0003231231
a11	0.63264537	0.112446904	0.25269026	0.0019462396	0.00027130306
a31	0.44319922	0.15509507	0.3816643	0.0028787258	0.01716276
a20	0.15673429	0.16365221	0.605078	0.018294238	0.05624134
a31	0.15758693	0.2803332	0.41816077	0.025791883	0.11812713
a39	0.20604788	0.19615427	0.25967523	0.15692884	0.18119377
a13	0.219714	0.22307128	0.23410752	0.17348006	0.14962709
a18	0.22333953	0.21698466	0.22505485	0.18884055	0.14578034
a39	0.23661512	0.21918988	0.24660635	0.1968977	0.10069096
a31	0.23362112	0.21263687	0.23827434	0.20504268	0.110425025
a46	0.19184852	0.17622073	0.1926724	0.18469812	0.2545602
</S>	0.19294612	0.19779819	0.19586387	0.17411268	0.2392792
