 	che	non	li	aspetiamo	</S>
a20	0.0459846983	0.00219909128	0.001171111364	0.77839846916	0.172246607303
a8	0.25028026428	0.03077056687	0.119860889021	0.567415881481	0.031672451212
a7	0.108231234822	0.0991196234229	0.00779025081338	0.78209620268	0.002762654952
a35	0.03812119376	0.2192589611	0.08120557928	0.63669557512	0.024718716
a46	0.03406377257	0.17156730792	0.252544200236	0.50521158856	0.03661314274
a31	0.194636952	0.1965824032	0.2765354328	0.18016432008	0.15208087866
a11	0.2007539104	0.09992084354	0.210869554	0.3231803948	0.16527530868
a31	0.1634415014	0.1499886418	0.279189268	0.1558556232	0.2515249928
a0	0.1638478088	0.14829195528	0.186039132	0.307288322	0.19453279138
a31	0.126639763	0.1933154665	0.265486844	0.2416148716	0.1729430418
a30	0.170905785	0.147995814	0.1595996268	0.360060946	0.161437845
a0	0.1591485668	0.159913156	0.235426722	0.24864673	0.196864806
a31	0.187109894	0.198798456	0.25745157	0.190911344	0.165728727
</S>	0.208092072	0.200020408	0.217141488	0.2050904044	0.16965566
