 	lo	posso	finire	di	scrivere	</S>
a20	0.74652547688	0.0295668772	0.0142487929008	0.118107084477	0.0145852792479	0.0769664957681
a31	0.60034484712	0.0436120910118	0.144542828092	0.144358529816	0.0003718272654	0.066769920424
a39	0.621435916	0.330503957864	0.0110791953652	0.0324930232279	0.0026211612544	0.0018667013268
a24	0.7314581383	0.19730955164	0.0013763850772	0.009278321022	0.0542672580908	0.00631035755
a18	0.5152289666	0.200093494667	0.0039809576694	0.23694936715	0.0293642376668	0.014382997272
a24	0.6103561634	0.18735033464	0.01043614548	0.09830970712	0.038497862092	0.05504980846
a31	0.2723929138	0.10687142912	0.1002072192	0.27892118	0.1123513282	0.1292559418
a20	0.3604884388	0.0224469506094	0.0349018264	0.1040510036	0.2120264364	0.266085339
a31	0.1256777032	0.03033633024	0.1357201474	0.1371947482	0.2100603128	0.361010751
a1	0.15013052	0.09091171797	0.0995437584	0.1096039112	0.247688122	0.302121996
a31	0.173105148	0.0926402032	0.195967192	0.140010562	0.1810793352	0.217197558
</S>	0.1281282044	0.1072193154	0.1147170156	0.163451212	0.214916742	0.271567536
