 	il	morto	si	piange	</S>
a20	0.2961985148	0.4730179096	0.0194009324	0.006154843888	0.205227794568
a31	0.0860210558	0.391709345	0.18207904772	0.264249438176	0.07594108938
a18	0.0669815285	0.343615958068	0.3335798208	0.18561741226	0.070205283408
a15	0.0242803226	0.5882635694	0.06701225404	0.315946261571	0.00449758572
a31	0.072075534	0.458506564	0.262917569	0.139854063	0.066646266872
a15	0.16216152676	0.603823924	0.07158916344	0.14969257984	0.01273276588
a31	0.07292763736	0.2424841152	0.2068740626	0.22433016012	0.25338405306
a29	0.1865029862	0.7327568706	0.0296173456	0.04326656752	0.007856215584
a31	0.079249594	0.1444585634	0.2365052546	0.356180387	0.1836062028
a0	0.16370211844	0.539585102	0.0607909046	0.1555298808	0.0803920236
a31	0.07172118422	0.3372355188	0.1413716138	0.2845056472	0.16516598934
a13	0.1314936706	0.2300267262	0.213186568	0.1551119176	0.2701811556
a18	0.0702012446	0.413744464	0.1259280766	0.260599081	0.12952711008
a41	0.07832972345	0.318974689	0.2243020976	0.2629986644	0.1153948441
a31	0.07552555941	0.2799458848	0.251874212	0.320458976	0.07219534572
a18	0.1109861716	0.263236892	0.198369224	0.231707862	0.195699878
a31	0.0625476184	0.299817226	0.1995988464	0.3757807	0.062255563
a46	0.1266559818	0.168603765	0.203279418	0.329009312	0.1724515628
a31	0.102914279	0.25899711	0.234330626	0.305565558	0.0981924748
a0	0.13020532712	0.1640863588	0.219894288	0.310683948	0.175130084
a31	0.1508735448	0.217319499	0.21224805	0.307203292	0.112355609
</S>	0.1315010839	0.1726949266	0.213348712	0.319544976	0.162910308
