 	io	non	ho	niente	da	mangiare	</S>
a8	0.2779442556	0.08443182162	0.04378348834	0.5474145326	0.00673384342	0.0305752744	0.00911682448
a31	0.18113448782	0.026383668634	0.0929295666904	0.3474003022	0.0290336099195	0.319310131408	0.003808228538
a8	0.00811084852	0.0123141628308	0.0280879862965	0.3458219218	0.00451471848936	0.582233884434	0.018916531675
a20	0.02617073736	0.008731224144	0.09044552529	0.547850444	0.0545480156012	0.253010090308	0.019243936024
a31	0.1906113008	0.03080374622	0.02472797304	0.0467348392	0.152901045266	0.53757100342	0.01665009728
a14	0.2788459846	0.022597065	0.027852313072	0.399360462	0.099313486466	0.165403202968	0.006627472436
a31	0.0354793968	0.02811651214	0.01854848417	0.2210227708	0.135010639584	0.5395248908	0.02229733301
a13	0.488171779	0.0336438476	0.02097428074	0.187700298	0.12143657768	0.143176621468	0.004896645472
a37	0.211351585	0.0244769562	0.012255772714	0.359466466	0.10944651163	0.24226319726	0.04073946482
a10	0.11346489	0.045542422	0.01631316326	0.5421313	0.087082111584	0.1655877561	0.02987834972
a20	0.0630769716	0.0344288756	0.01541897592	0.455282388	0.13984675188	0.25725412906	0.03469187926
a7	0.1185727904	0.0899301142	0.03401178294	0.554518006	0.0938283368	0.0825711936	0.02656777358
a18	0.0817914172	0.0783716312	0.0690965792	0.52875103	0.114452849	0.0889721822	0.0385642484
a44	0.02579630144	0.04058935556	0.01576340746	0.732727532	0.0648100774	0.0744306422	0.04588267428
</S>	0.04658954244	0.03982316548	0.01563101454	0.75447501	0.04788770592	0.0534141922	0.042179352584
