 	non	li	aspettiamo	più	</S>
a3	0.426410406	0.173183893	0.0899550188	0.232647767	0.0778028703986
a31	0.13850516948	0.22458528048	0.0863497986	0.4473730592	0.10318671728
a35	0.159857475584	0.07573331552	0.20771563224	0.4643610978	0.092332490964
a31	0.1142944115	0.12712860892	0.0417121464	0.570884478	0.14598035822
a13	0.1891789102	0.132291298	0.196352672	0.323577409	0.1585997014
a31	0.1830965868	0.281663067	0.0759503676	0.1461356732	0.31315434422
a15	0.1731885128	0.1896428084	0.1510460838	0.213923814	0.27219878472
a31	0.1892210262	0.198624242	0.223098876	0.0901856428	0.29887023894
a46	0.1252860516	0.233678254	0.2120563446	0.163408664	0.2655706765
</S>	0.1051283016	0.189832082	0.321366818	0.157866258	0.225806543014
