 	era	molto	stanco	</S>
a46	0.4660688648	0.061168748094	0.460754884412	0.012007526837
a8	0.3299465432	0.0822649709172	0.58473212336	0.003056342524
a37	0.32518775082	0.0407794028492	0.60359024192	0.0304426154732
a31	0.06556810136	0.234982085984	0.6532457822	0.0462040327
a0	0.23446303388	0.22568991914	0.53183685434	0.00801018841779
a20	0.2178967924	0.2191295416	0.4750563488	0.087917314404
a31	0.1457563822	0.340376028	0.435660778	0.0782068420352
a39	0.1326062148	0.2843769224	0.456391997	0.12662488778
a41	0.425555486	0.30876693	0.1344496418	0.13122792028
a31	0.3025937384	0.312853056	0.21578911	0.168764072
a28	0.12806082186	0.239436116	0.426327994	0.206175048
a11	0.4992091128	0.2235267466	0.1028666538	0.1743974844
a20	0.391302886	0.287025822	0.1555584114	0.166112881
a31	0.30829478	0.271195046	0.19989333	0.2206168268
a11	0.2745473894	0.248850158	0.313494852	0.163107623
</S>	0.299692362	0.275580024	0.205227558	0.2195000446
