 	sto	e	cucino	</S>
a31	0.21074191576	0.44302769654	0.1493961906	0.196834181876
a20	0.23460014348	0.42212715012	0.154156621638	0.189116129712
a31	0.205146737352	0.22938542374	0.367578081561	0.197889772828
a37	0.3233433072	0.29220735764	0.214652844506	0.169796479847
a18	0.286352714	0.3772142836	0.259225847868	0.077207184262
a31	0.427723692	0.271869308	0.239907441971	0.060499569588
a20	0.3468701128	0.3159861774	0.2059484977	0.1311952194
a31	0.42055379	0.1888957432	0.2836389989	0.1069114864
a28	0.3309358176	0.263403334	0.2676867014	0.1379741674
a33	0.36400829	0.44918052	0.125754889	0.061056332
a31	0.285450748	0.3344307212	0.253085493	0.127033067
</S>	0.208975442	0.264504842	0.276801308	0.249718408
