 	e	che	cucino	</S>
a31	0.62870521826	0.0413990265	0.129349683	0.20054604588
a24	0.36637113846	0.23201644932	0.21989530448	0.18171711151
a31	0.2693973761	0.136482112816	0.398068475352	0.196052059354
a11	0.5107045186	0.0452588408	0.36172182596	0.0823148046364
a46	0.082432084	0.2172864274	0.518940962138	0.181340508928
a41	0.441781668	0.162115098	0.328314814946	0.06778840522
a20	0.4744314694	0.1476448724	0.242154566	0.1357691126
a36	0.611911103	0.1175440782	0.16541989126	0.1051249284
a31	0.372164928	0.161489187	0.2681573508	0.198188558
a46	0.453135516	0.216087264	0.168348418	0.162428792
</S>	0.4890412	0.1834038968	0.186803848	0.140751094
