 	vuole	andare	a	Lecce	</S>
a20	0.628275692	0.02534704506	0.06831164604	0.19820684522	0.079858760816
a31	0.77148308428	0.0012199472928	0.0130895537974	0.21278482684	0.00142254274
a18	0.599997304	0.0166607144894	0.228666225926	0.150852210924	0.0038235740613
a46	0.32366716572	0.055534141638	0.03626142948	0.57817581315	0.00636143317
a37	0.26898154632	0.05487882894	0.04786660042	0.6129872482	0.015285781464
a23	0.2878523104	0.01894639368	0.052377997236	0.600915436	0.0399078342
a18	0.197696916194	0.01857988888	0.07638362938	0.615519126	0.09182044032
a38	0.16001424238	0.04624625504	0.079281238	0.592078892	0.12237937274
a37	0.1631229906	0.074248023	0.0732268886	0.497427878	0.1919742176
a31	0.1581108346	0.1638548252	0.15407252	0.295480197	0.22848164
a20	0.2516704272	0.078362131	0.1051293332	0.319672898	0.2451651932
</S>	0.165742076	0.309231266	0.116545704	0.1533018504	0.25517908
