 	non	ho	cosa	a	fare	</S>
a8	0.487281276	0.2537356108	0.0729296124	0.03710504842	0.08281755768	0.066130890214
a31	0.3816084226	0.286726394	0.2060433188	0.00715881632	0.05102345366	0.06743962876
a37	0.295121432	0.139812812	0.2577391954	0.057424142436	0.186589048134	0.063313400288
a11	0.21691195163	0.135438044	0.3875091862	0.06147710986	0.156479797	0.04218394032
a13	0.18038649988	0.2298092218	0.3015996724	0.02835198428	0.0972775366	0.162575079548
a20	0.17675908484	0.2574873686	0.24605833668	0.0616779308	0.1244712226	0.13354605812
a31	0.1427565488	0.3688191692	0.168002956	0.115091162	0.147561026	0.0577691172
a8	0.0309515948	0.083010432	0.2575382206	0.3163804026	0.212079396	0.10003999604
a31	0.1131060628	0.2710520977	0.1191393326	0.109630016	0.17833856	0.2087339428
a46	0.122584976	0.33742058	0.194926472	0.078579275	0.1144492528	0.152039426
a8	0.1893262054	0.158187598	0.127236028	0.105782273	0.2084039354	0.211063974
</S>	0.170832374	0.1514696432	0.1409605108	0.1888763228	0.1612308268	0.18663032
