 	avete	cucinato	le	verdure	</S>
a29	0.5411857984	0.087544287672	0.133634732	0.0248715671	0.212763672764
a38	0.943146616	0.0150673189597	0.024230290632	0.008450709332	0.0091050994312
a31	0.5561614448	0.0097461316256	0.22123926022	0.03022133276	0.182631841795
a11	0.5902415836	0.0247964905652	0.17663941364	0.161718378801	0.0466041150332
a37	0.404472008	0.0657954923072	0.1868575014	0.2913964794	0.051478536074
a11	0.574366134	0.040243407932	0.1436557744	0.2027243468	0.039010324
a31	0.378908174	0.0906324065	0.21212579	0.258947638	0.0593859892
a20	0.24601775	0.02512594266	0.217842133	0.349720158	0.1612939864
a31	0.506599356	0.091198963704	0.1284655498	0.117599738	0.156136342
a39	0.3361741032	0.08793785998	0.1825358832	0.2802607932	0.1130913184
a13	0.558487798	0.09559119394	0.1352496308	0.0770061752	0.13366523
a18	0.459300416	0.122397226	0.1287750776	0.130730728	0.1587965534
a39	0.3220416	0.171272626	0.1565273776	0.150794099	0.1993642874
a31	0.295960314	0.1769124568	0.170855502	0.1773260354	0.178945697
a46	0.374059252	0.1227286314	0.194808668	0.169754931	0.138648492
</S>	0.239633722	0.19846726	0.181822624	0.1734137056	0.2066627066
