 	mi	sono	vestito	</S>
a39	0.859102408	0.02661953342	0.027780808224	0.0864972056288
a11	0.934444816	0.0050753415407	0.04199230018	0.018487537352
a13	0.6928768134	0.0510319539744	0.2017064379	0.054384742522
a18	0.500012214	0.06883792208	0.3118907302	0.119259132
a31	0.2416100635	0.11811747912	0.3829377	0.2573347344
a37	0.2581064376	0.11414276326	0.3487301356	0.279020697
a15	0.59472573	0.1168483694	0.1522617248	0.1361641678
a31	0.263815386	0.2044423574	0.157263146	0.3744791324
a46	0.455596536	0.1355304706	0.18490069	0.2239723136
a31	0.349465362	0.309977876	0.136345978	0.204210762
a20	0.233729557	0.232183058	0.252357954	0.281729388
a31	0.352583854	0.2659794586	0.17540558	0.206031063
</S>	0.22276223	0.25286541	0.295294864	0.229077524
