 	da	da	un	famoso	poeta	</S>
a31	0.2167897434	0.118252465068	0.022654204141	0.33695457682	0.08529560664	0.22005340294
a37	0.01311996016	0.0062120572	0.3582211516	0.48319347182	0.0661388561916	0.07311446946
a31	0.00661177208	0.0175143822938	0.341681201	0.36528487564	0.20449033048	0.06441743256
a28	0.062919773754	0.12833757214	0.4770156148	0.0831466935	0.217211435296	0.031368881
a31	0.016373542512	0.107696947226	0.539941834	0.0455230354	0.26731444364	0.02315020406
a20	0.0844658697044	0.12410016405	0.607448208	0.04358149559	0.1287049384	0.01169931614
a13	0.18872286126	0.18012217638	0.2333258022	0.01509757012	0.2111411624	0.171590431412
a39	0.19923938952	0.091948842228	0.1596281618	0.0768206518	0.233262385	0.23910056772
a31	0.2114439744	0.1100646974	0.1101080304	0.189369778	0.1843240544	0.19468946906
a35	0.0978595162734	0.126707962309	0.123686996212	0.10953522784	0.330748783	0.2114614876
a31	0.1290235908	0.11231265	0.072697929	0.282961593	0.20008322	0.20292102
a17	0.14436255158	0.118135961	0.1232152274	0.202402632	0.16326109	0.24862255
a31	0.173799026	0.198219354	0.120019008	0.258596415	0.123678802	0.1256873892
</S>	0.1427601292	0.1258614108	0.1326417068	0.300776836	0.131023277	0.166936672
