 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
a8	0.145304870472	0.122719000379	0.0064915509488	0.00137939746	0.17572301214	0.0558656571	0.3380597622	0.14445343288	0.010003336566
a31	0.0422199452	0.185291153208	0.0159357621848	0.0022172875122	0.13619418488	0.0112367344052	0.2315773952	0.33176957874	0.0435579489
a46	0.00345180218	0.001432371844	0.00089827849908	0.00241867378593	0.156770674286	0.04900729164	0.38463029644	0.352428134316	0.0489624083486
a8	0.024687958892	0.128282932888	0.017472461488	0.0009331244672	0.027492068464	0.02266528532	0.28334740592	0.4767922016	0.01832657982
a20	0.0174600651	0.205560251926	0.0270652072051	0.0019223229436	0.013470921592	0.019166837672	0.20406110926	0.4853924253	0.025900798326
a31	0.0222843033324	0.288072313428	0.0375016445372	0.0049652372164	0.01368655466	0.038717064756	0.1407146773	0.44569359112	0.00836456258
a20	0.022773232428	0.222770539208	0.094582085858	0.00749743186936	0.022194614564	0.021954923424	0.2458753992	0.36100324844	0.0013485428208
a13	0.037884202	0.214147723794	0.0723914359416	0.007245379454	0.0517745196	0.021550753212	0.2393074392	0.3451576462	0.01054089267
a14	0.062545244944	0.257873126988	0.0535458464464	0.014327638744	0.04227066704	0.04285414242	0.2885648234	0.20748184332	0.0305366766
a0	0.033830746544	0.347940543988	0.053530407928	0.016222117158	0.03004520948	0.04800849044	0.190823245	0.253271857	0.0263273194
a31	0.02173251424	0.185552691016	0.07044020784	0.02020895166	0.029952135	0.06848425676	0.345368129	0.229201282	0.02905986446
a37	0.027455128912	0.19618792852	0.055118864252	0.0206679806072	0.07378213814	0.0142995651	0.2337155618	0.346993144	0.031779702146
a35	0.040635492	0.23104286984	0.05068334436	0.02537455372	0.0340808217	0.04441637902	0.328665454	0.2031737486	0.041927325256
a17	0.02635519148	0.160121233704	0.11482349488	0.021854685748	0.03048160192	0.05607722232	0.3390298094	0.2227489454	0.0285078007
a31	0.02926323708	0.164637892296	0.101211765148	0.03141093468	0.0356639796	0.07496194512	0.2277618472	0.309635749	0.02545262032
a15	0.04716856912	0.0650126792	0.06695463964	0.049074041172	0.07418926804	0.02127685386	0.2849564404	0.3703284234	0.02103912464
a31	0.0559691946	0.18048563272	0.0564790612	0.04099743214	0.04143619516	0.0584092514	0.2251511836	0.244034366	0.09703770522
a46	0.0473481733	0.037090925	0.0441892386	0.0790585958	0.0643790798	0.02823181676	0.2390773294	0.4367505568	0.02387426776
a35	0.0650482264	0.131355152	0.0637153654	0.03661414036	0.04916875934	0.04159161412	0.1690625304	0.2774070186	0.16603713994
a20	0.0554716672	0.0726455752	0.0638992224	0.0492695356	0.0409471258	0.0633976306	0.1503793488	0.4285594204	0.0754304866
a31	0.0502766184	0.0786433746	0.071560732	0.081700633	0.0545815544	0.1040992078	0.129193108	0.35434234	0.0756024096
a17	0.0921750122	0.0481457866	0.04550849656	0.08739530612	0.0601981276	0.0394536742	0.24999161768	0.3434625556	0.0336694052
a20	0.0549982482	0.0834956706	0.0581055894	0.04451815574	0.03922224268	0.06646059664	0.1819444896	0.364319364	0.1069356394
a8	0.0597325392	0.0676046644	0.0630010428	0.0574576376	0.0471809922	0.092681195	0.174693178	0.3522010706	0.085447702
a23	0.048326447	0.0881122348	0.077019095	0.038256453	0.0422484536	0.1113328732	0.0641636778	0.484480195	0.046060584
a46	0.0608210298	0.0648504034	0.0659509332	0.052931044	0.0547690434	0.0867966528	0.112923205	0.4310784668	0.0698792416
a8	0.0603167694	0.0589449796	0.0619349366	0.0539598154	0.0513654162	0.0914098262	0.2224619996	0.323048842	0.0765574088
a31	0.0538457572	0.07420937984	0.0748096536	0.0506421044	0.082281798	0.1362675448	0.2004261458	0.2821321154	0.0453854696
a17	0.136984583	0.0478665838	0.0385022998	0.0831700078	0.0459450118	0.0648285296	0.3209268841	0.216228791	0.0455472686
a31	0.0874550088	0.0675331488	0.0660888674	0.075360377	0.065150247	0.0843345896	0.127745211	0.3281208234	0.0982117266
a37	0.1007255288	0.0711579068	0.0549376662	0.0968378264	0.0573051814	0.0755450458	0.1795548179	0.2821589582	0.0817770514
a31	0.076782014	0.0639818888	0.059659522	0.072574723	0.053848334	0.0783643758	0.155074264	0.3454666994	0.0942481078
a30	0.0920917488	0.0786207732	0.0612464516	0.09957652	0.0611526612	0.0818252246	0.131081826	0.3002333734	0.0941714396
a21	0.097362654	0.071790256	0.0612847666	0.0766341628	0.0605866972	0.078803714	0.154639976	0.297161822	0.1017359732
a10	0.0852427134	0.079374436	0.0723880826	0.0739738373	0.0603603116	0.0778656268	0.1275669228	0.3293909952	0.0938370592
