 	dei	genitori	</S>
a31	0.67986494598	0.14867983016	0.171455230854
a20	0.5442808752	0.34268288836	0.113036245743
a31	0.5946748154	0.3761556112	0.02916957066
a18	0.59913273	0.3880161412	0.01285113035
a24	0.3673243662	0.4511888062	0.18148681384
a28	0.747466612	0.2107492828	0.04178406874
a31	0.735316896	0.197621614	0.0670615096
a20	0.348243962	0.316798094	0.334957936
a31	0.661787518	0.182012946	0.156199544
a20	0.169740432	0.373234252	0.457025328
a39	0.558528774	0.22592826	0.215542916
a46	0.476311224	0.269762854	0.253925922
</S>	0.458164488	0.280351384	0.261484108
