 	sono	vestita	</S>
a31	0.2497369208	0.516105567	0.23415752348
a20	0.327708375	0.419219718	0.253071918
a31	0.24736122595	0.5489662012	0.2036725883
a41	0.518289419988	0.2845935936	0.19711701106
a46	0.16882587234	0.468942938	0.3622312326
a18	0.1582741548	0.4467229788	0.3950028548
a24	0.214267078	0.418499008	0.3672339288
a31	0.307338512	0.343893802	0.348767672
a11	0.2062925832	0.445669908	0.348037496
a0	0.37837595	0.333154012	0.288470046
a15	0.390969942	0.31310424	0.295925822
a8	0.444029876	0.279605762	0.276364354
a39	0.444662678	0.251765776	0.303571524
</S>	0.374930624	0.27171869	0.353350686
