 	non	mi	aspetti	non	vengo	</S>
a33	0.3187711374	0.2256204206	0.13851127848	0.009208981308	0.21153580374	0.09635239293
a31	0.1947882342	0.360167673	0.330783433632	0.033972334366	0.020348394916	0.05993991754
a37	0.3097679108	0.258609685	0.161124578019	0.148403879368	0.0948730032924	0.027220918412
a35	0.175557062582	0.3019332602	0.28724327898	0.104668554226	0.096398531208	0.03419935912
a31	0.144738939566	0.2739870036	0.2980181748	0.100340704832	0.1053712894	0.07754388754
a7	0.07516999869	0.1718587392	0.2828340288	0.184465135384	0.26352460126	0.022147476626
a18	0.21168736862	0.238970448	0.2350522756	0.08361944106	0.1906006376	0.0400698178
a24	0.1011292074	0.087191392	0.143431025	0.1135057608	0.477747312	0.0769952788
a31	0.0259352414	0.105305088	0.08396102	0.0586431194	0.505233488	0.220922048
a20	0.0289650963	0.0695034984	0.0573761788	0.05130305336	0.593260142	0.1995920878
a8	0.0433272908	0.0627723858	0.0447493572	0.0656390007	0.595731596	0.187780388
a31	0.0984835988	0.1197450664	0.0888234676	0.0801246248	0.464063362	0.148759896
</S>	0.193358818	0.1367162946	0.145000642	0.104481634	0.206631998	0.213810614
