 	tu	quante	bottiglie	hai	rotto	dieci	</S>
a21	0.39627147856	0.22410564418	0.359909282972	0.0012958206056	0.0150900583484	0.0007190707796	0.0026086085876
a20	0.341479995031	0.523497646553	0.0891267426994	0.012384029656	0.00595964085553	0.00149917423656	0.0260527554813
a35	0.36288285021	0.600460678512	0.0172407045372	0.0067983501296	0.00522260144066	0.000904071407	0.006490760666
a20	0.277855809084	0.579019902168	0.06454291298	0.04029045474	0.01009390862	0.00883847786	0.019358550952
a38	0.31993830276	0.171775958967	0.32270021574	0.07473281288	0.033131897216	0.02858109288	0.04913980574
a31	0.15143800324	0.130074974374	0.3757322402	0.1913229016	0.04628430416	0.05741813338	0.04772945474
a18	0.35990317724	0.444728282598	0.0745558762	0.060534375868	0.021036158048	0.01898348734	0.020258653
a23	0.171829998912	0.04099922548	0.48760651514	0.179098635736	0.045594589316	0.043805737732	0.03106530572
a24	0.11602052756	0.1152460456	0.4574693866	0.1707074496	0.05342906444	0.0487862172432	0.03834127634
a37	0.1734434762	0.0544054968	0.4637469038	0.13008687068	0.057550615	0.058946039374	0.0618205464
a20	0.16749934928	0.0596006106	0.4777410688	0.1457298482	0.06038114574	0.05287722256	0.0361707319
a31	0.14617408468	0.0635305868	0.4682199532	0.13866541204	0.08658989064	0.05744664634	0.039373405
a20	0.07499858232	0.0592413576	0.5308744068	0.19039980648	0.056651714954	0.048115940892	0.03971820026
a33	0.2422248236	0.0610978742	0.365885941	0.029223953	0.0696136016	0.0766289274	0.1553249162
a31	0.1516261644	0.113396534	0.3623290066	0.0490920544	0.0880851828	0.0948574532	0.14061358
a20	0.1268653228	0.0646081392	0.473343776	0.1455982762	0.046284563	0.0488813794	0.0944186064
a31	0.140628626	0.0719714734	0.135081428	0.0572274564	0.1215917332	0.2338725681	0.23962673
a20	0.2071641	0.077756401	0.1890962	0.10230322426	0.07656005944	0.185322821	0.161797156
a31	0.139258202	0.0766200234	0.105803326	0.06888185786	0.12864741332	0.28184838026	0.198940792
</S>	0.196661346	0.0624892828	0.1428570898	0.0809389906	0.1045974915	0.2052830484	0.2071727258
