 	vestita	la	figlia	l	avevo	portata	alla	chiesa	</S>
a31	0.07413068824	0.0340908765674	0.0613779248168	0.0955653527282	0.00485842804	0.4133624834	0.0297560413024	0.253611471513	0.033246702724
a16	0.0211778441092	0.08268609034	0.130186083698	0.086285661892	0.0242705228604	0.14511345228	0.047087136439	0.4371213516	0.0260718221
a31	0.0675721054917	0.0170474077388	0.0288575237482	0.00795769151136	0.0829322156812	0.287997968	0.0460026161788	0.4389617516	0.0226707668104
a24	0.018540851236	0.01354087168	0.04474357928	0.072835162276	0.117965409502	0.11874036	0.09231310812	0.507774968	0.013545649548
a28	0.0150359263256	0.0130386844454	0.0935713267664	0.046163758896	0.13260261974	0.2049455172	0.019814924826	0.46404868524	0.01077859764
a31	0.03224451558	0.10385623552	0.1547229838	0.04849682116	0.088425342132	0.1018597944	0.02444015604	0.39196671468	0.05398745374
a41	0.04918928986	0.0578461151394	0.08226381288	0.11416236752	0.142387161776	0.1501275786	0.02267611658	0.36090509676	0.020442448346
a31	0.02567376122	0.13736258602	0.07971695134	0.05574647302	0.053093120408	0.036364774708	0.05105492746	0.4787596029	0.0822277874
a28	0.0467403186	0.1623624456	0.07485399874	0.077441055472	0.169540827964	0.155094529234	0.07572382726	0.2173600761	0.02088291987
a20	0.0315540518	0.1261096781	0.10105075676	0.078455609	0.05775407566	0.07089381266	0.113886112068	0.36003061544	0.060265276
a46	0.0452209214	0.124244166154	0.1805964758	0.142157009754	0.052227491154	0.03732937108	0.10126117517	0.22285411088	0.09410925092
a11	0.047683593944	0.09001550218	0.1310297342	0.1949657616	0.0772999286	0.123269997498	0.1359841622	0.15390994186	0.045841404388
a46	0.06568891966	0.1009010634	0.167554224	0.1405955876	0.0817868506	0.069844602042	0.11001141052	0.1601846394	0.1034326822
a31	0.0550882958	0.07883225432	0.098624946	0.13141837	0.1289719804	0.168610980192	0.13528682192	0.1448427446	0.05832358408
a17	0.09329221194	0.09171516204	0.0595173872	0.0838405048	0.0823723634	0.12495547956	0.095729517	0.283944038	0.0846333566
a31	0.0668035675	0.12069229246	0.1203339	0.1739942068	0.083992262	0.11686666504	0.1466143866	0.106397272	0.06430546708
a20	0.118888308	0.0971274094	0.0775234516	0.0706266164	0.1064373006	0.0873032164	0.1037940778	0.252457106	0.0858424876
a31	0.0839676384	0.1057855616	0.0928161644	0.1201222594	0.0875033288	0.13825006606	0.1591292994	0.127345588	0.0850800898
a13	0.147058236	0.098062436	0.0821163412	0.0726516834	0.0887124964	0.0869153986	0.099769541	0.2117943204	0.112919583
a18	0.103102718	0.1202591568	0.102533936	0.109319784	0.1109317384	0.1292800872	0.1217275134	0.1105499214	0.0922951542
a13	0.124117681	0.1202976276	0.0955253302	0.088949845	0.132211772	0.119150495	0.1211670068	0.1133358108	0.085244428
a31	0.116106124	0.1164073316	0.089043938	0.0811630348	0.130292336	0.1090012864	0.1414499426	0.13024588	0.0862901312
a18	0.107657017	0.090059123	0.0736732742	0.0672466382	0.070444497	0.0876192078	0.1023714318	0.276767798	0.124161012
a3	0.133558946	0.151099154	0.104121138	0.0912634364	0.12154457	0.118852165	0.0987143866	0.0948432516	0.086002925
a0	0.1475735428	0.139454908	0.100287912	0.0866568244	0.1166571084	0.1031644042	0.109734433	0.1096867592	0.0867841514
a20	0.127200562	0.135210684	0.0920319424	0.0728892296	0.124342566	0.1003521406	0.1406834812	0.128280359	0.0790090882
a31	0.1034484112	0.1061082746	0.072346892	0.0568924642	0.1033799648	0.1420197686	0.112481951	0.229734958	0.0735872954
a13	0.127459142	0.122191711	0.0740210342	0.0551309353	0.0595142418	0.12111609	0.076432651	0.235431364	0.128702804
a31	0.137476524	0.187726351	0.132135662	0.08019005	0.0995144292	0.1047234908	0.0809988048	0.09170224	0.085532401
a20	0.140022126	0.1194936872	0.100278399	0.07758261	0.0757629578	0.0944326856	0.0934423102	0.1609730688	0.138012172
a13	0.131571512	0.134093754	0.1085894352	0.0913385452	0.1147410912	0.126383715	0.1004150132	0.101111244	0.0917556944
a20	0.1360880126	0.1464450292	0.1133504932	0.0935646772	0.103115571	0.110230237	0.1032328348	0.1032208128	0.090752345
a31	0.1268771572	0.137931266	0.103856401	0.0844707604	0.1132615804	0.1084309624	0.1091191126	0.12111011	0.094942665
a17	0.147494426	0.1180307516	0.0998089988	0.0749621884	0.0787776588	0.09056563	0.0904103532	0.167812032	0.132137936
a20	0.12370144	0.139038816	0.108054734	0.1199180918	0.1067512548	0.120611116	0.0941139532	0.0991907084	0.0886198932
</S>	0.127561602	0.139251728	0.108649816	0.0895130768	0.0983805092	0.118654608	0.0995181364	0.1175040128	0.100966501
