 	mio	padre	ha	lavorato	sempre	</S>
a23	0.1965033764	0.2236696104	0.0315783534	0.006624928732	0.470554273	0.07106948642
a31	0.1530092548	0.2150972728	0.08105644808	0.0375427926	0.422461294	0.09083291973
a37	0.06276026714	0.1738586786	0.01155538584	0.103535008724	0.63340549076	0.01488521426
a31	0.06818493528	0.10873121128	0.073421082894	0.132777908316	0.569845156	0.04703968461
a37	0.0665264604	0.27885337	0.077756466196	0.1029573306	0.44298888	0.03091756332
a3	0.0344758772	0.2966994296	0.0902552185	0.0303564492	0.475385782	0.072827249826
a31	0.1291768026	0.1773732372	0.07617441086	0.0773390268	0.476084154	0.06385234028
a3	0.1806435474	0.291278628	0.13829418204	0.144532072	0.233042416	0.01220912232
a44	0.11232875906	0.1618801008	0.06057615684	0.088071054	0.444313932	0.13283001614
a31	0.086075246	0.22826381	0.0955696450132	0.06765513924	0.40300461	0.1194315645
a8	0.176964925954	0.190795144	0.09795794868	0.104751596	0.311155578	0.118374783
a31	0.10157379912	0.10629423772	0.110083006831	0.0929529466	0.4053764812	0.1837195987
</S>	0.1887003146	0.150983365	0.101696596	0.1500303854	0.158448672	0.25014068
