 	non	sono	ancora	vestita	</S>
a31	0.626915166	0.03362998206	0.0266341865	0.080701604046	0.232119056765
a23	0.424424613	0.02631293986	0.199752903	0.150857247703	0.19865228658
a31	0.113601108	0.0025528734785	0.256682866	0.273850633982	0.353312485385
a7	0.41772905218	0.0281805881	0.0630961932	0.235959408931	0.255034746647
a31	0.1687653077	0.02327467959	0.2646058204	0.216163793468	0.32719039732
a13	0.4966251543	0.04095171312	0.1767847022	0.108771586277	0.176866846943
a31	0.329715002	0.1440240026	0.256811714	0.1242038158	0.14524542768
a37	0.281443035	0.03724558746	0.1651463368	0.276051425968	0.24011357756
a18	0.357679016	0.1919346848	0.240445628	0.111801594	0.0981390958
a31	0.28358457	0.213419691	0.1755820512	0.157668158	0.169745524
a46	0.1435630252	0.166008692	0.250366274	0.211570078	0.228491906
a8	0.158921027	0.225037036	0.2039346208	0.249243452	0.1628638712
</S>	0.1655845648	0.303185506	0.172027886	0.216942493	0.142259518
