 	sta	e	dorme	nel	letto	</S>
a33	0.2156079286	0.354627160326	0.04996239686	0.0274162309854	0.251324802912	0.101061493318
a31	0.3265752608	0.3608103144	0.056844075	0.154287786266	0.0629323306	0.03855020706
a37	0.0959665992	0.1408004284	0.2196854724	0.0966310130872	0.3889134674	0.0580030404
a31	0.06443070958	0.1805602608	0.16916979252	0.15423409864	0.38771610692	0.04388904648
a13	0.07435030608	0.565922752	0.13852094972	0.118946412304	0.09045985341	0.01179971774
a20	0.18696559954	0.3638284824	0.06504638172	0.156362838608	0.1460482188	0.0817484591
a24	0.21189330042	0.456616036	0.055124673944	0.102790841456	0.05896884356	0.11460630496
a28	0.18106090476	0.465426727	0.12470056166	0.0916861061788	0.0508660902	0.086259619904
a31	0.1458965828	0.48923522	0.0963984756	0.081811787852	0.109240382	0.077417542
a35	0.08002479806	0.4209942252	0.174613682	0.11006144046	0.1648371538	0.04946864192
a18	0.0537276812	0.4561744868	0.229526029803	0.0862880633232	0.09381642312	0.0804673238
a31	0.09651141666	0.363181786	0.1078992204	0.0631276852	0.264343652	0.104936262
a13	0.0928991302532	0.40082646554	0.129929058	0.10966191056	0.1740422444	0.0926411724
a39	0.1521360658	0.2282676044	0.219227262	0.1119285308	0.134539958	0.1539006124
a31	0.2134755732	0.1704522908	0.12145703	0.092493706	0.255545532	0.1465758548
a21	0.117607436482	0.1720626068	0.1625838887	0.094076	0.334256716	0.1194133132
a31	0.1717273412	0.157378014	0.19075134	0.1347926028	0.198671994	0.1466786988
</S>	0.1181674942	0.143277886	0.16514755184	0.112045371	0.324256428	0.1371052628
