 	il	dito	si	gonfiò	</S>
a39	0.853552692	0.07352161216	0.00674967086	0.028565160364	0.037610912509
a13	0.6515203	0.264058184591	0.06923840554	0.0060285157468	0.009154604707
a31	0.30440672998	0.080645472192	0.2419564756	0.308761424293	0.06422989233
a20	0.2559948647	0.159245535416	0.1133709344	0.362009352283	0.109379301848
a31	0.08556248474	0.02574037376	0.3627937262	0.37217381164	0.153729646724
a11	0.4439283866	0.09115798152	0.15277809674	0.261205484233	0.05093003624
a31	0.12801972862	0.0829250526	0.29649601	0.312589398553	0.179969800672
a39	0.1415547226	0.090094173	0.317393788	0.135924498103	0.315032794121
a31	0.0947881802	0.098741364	0.296205632	0.18720484134	0.32305998946
a41	0.1643561888	0.1666758074	0.352407514	0.151103865679	0.165456619776
a46	0.1514702206	0.170380898	0.331600212	0.160610653	0.185938024
a31	0.168700662	0.1861598312	0.357869824	0.1399259166	0.147343736
</S>	0.1509839632	0.177804064	0.247151084	0.138015406	0.286045488
