 	pure	che	ti	ho	visto	una	volta	solamente	non	ti	dimentico	mai	</S>
a38	0.137296809653	0.0355422798063	0.131682597301	0.034444615712	0.1225519452	0.061380157	0.247059125	0.028823774492	0.03428276686	0.052973291	0.10225548354	0.00828531478	0.0034218346
a31	0.06217242574	0.03518639008	0.117314423	0.0770592864	0.1623399214	0.02260433788	0.079831658	0.0028193147528	0.02683599496	0.048521397	0.27837362422	0.07321857246	0.0137226971
a21	0.046896512966	0.00187167648	0.0114302448	0.015504924041	0.155304642	0.173193326601	0.1851367481	0.013834059522	0.02298487692	0.0737213954	0.25738270358	0.0378914968212	0.00484739856
a24	0.10789815288	0.003544123376	0.0559603458	0.080019130932	0.1975777876	0.13278553838	0.2294402178	0.0572642974732	0.02641549755	0.02022196768	0.063885381286	0.01414853128	0.010838999172
a31	0.017811732184	0.005569790306	0.03364520668	0.04490390488	0.069261776	0.0871011302	0.244466082	0.0374274085	0.0303933752	0.157146236	0.1556537356	0.0367602552	0.07985935328
a17	0.00338550954	0.005080406358	0.05954447876	0.072931290292	0.1625799516	0.0668670229516	0.4543282948	0.0094507900206	0.0466778126	0.045134462	0.046304638704	0.0206689859352	0.007046352648
a31	0.058409478392	0.020461744944	0.12168221984	0.06954347904	0.087080206	0.10599651644	0.236905799	0.0127497168792	0.03701734928	0.1210466268	0.051875589	0.051653367872	0.02557789082
a20	0.030146415	0.0275523	0.1428399416	0.0814370864	0.0857076944	0.04828295118	0.2541668354	0.0123218728	0.06284227742	0.0580769088	0.1731633006	0.008708677602	0.0147537271972
a13	0.02346586972	0.02080974448	0.29611077912	0.05859703456	0.0747351566	0.037585171	0.1385427822	0.00564492586	0.05849233128	0.1901335352	0.04163467926	0.0348721923	0.01937578856
a17	0.0776898875	0.04292992878	0.1078335012	0.0457762256	0.0719359818	0.0821002402	0.0803635584	0.004092784948	0.0604269062	0.1050518272	0.2400551326	0.0395713333	0.04217268066
a8	0.06136273252	0.0195223358	0.2142897872	0.03480092266	0.0481580206	0.02978266614	0.0819031762	0.006111022728	0.0457931248	0.0848593748	0.3164737494	0.0386850333	0.018258053124
a31	0.03501075432	0.00918683842	0.1332398006	0.03378213132	0.05283531226	0.03818746468	0.0468687314	0.01358292253	0.0523891434	0.1899099368	0.3240777856	0.04358590722	0.02734324742
a39	0.03442562678	0.02501623334	0.08735461	0.0916768288	0.0924888946	0.0758122634	0.127588942	0.00648726884	0.0378595842	0.101280311	0.2497080554	0.0376793358	0.03262202332
a31	0.0368455272	0.0271797224	0.0675784568	0.02875782994	0.058531253	0.017454497344	0.0930826588	0.00567521062	0.0639916296	0.2375379952	0.3094363008	0.03049550116	0.02343341752
a37	0.027415619828	0.01707670528	0.0725660384	0.01900072118	0.05189505828	0.052573409	0.0771554094	0.00819738126	0.0510682642	0.30561561	0.2211061252	0.0679358182	0.028393886
a8	0.0472769444	0.0327577824	0.046143517	0.01778721166	0.0671274244	0.0223661502	0.1576536264	0.00639575232	0.08430503474	0.196420412	0.236236911	0.04645226852	0.03907696282
a31	0.059930054	0.0429665798	0.073093609	0.0285068643	0.0711390484	0.02363149534	0.0712961656	0.01358740528	0.052430407	0.2028676468	0.2588506844	0.0789620292	0.02273800372
a8	0.037156639	0.0276688684	0.0456689234	0.0242209496	0.0339341448	0.0378608067	0.0583808186	0.00869505878	0.02924127648	0.2008716524	0.296282803	0.1431406562	0.0568773832
a23	0.0713151976	0.0447561448	0.0419444786	0.03594679616	0.0867537116	0.0413102706	0.139314724	0.01280254448	0.0436540722	0.1201037238	0.2860210732	0.04382936322	0.03224788902
a8	0.088207406	0.0539354098	0.0549834304	0.0330895306	0.124421413	0.0388737944	0.0737032256	0.026965602	0.0611934276	0.09484688	0.227587804	0.0858970894	0.03629499206
a20	0.0897149348	0.048799766	0.0472325228	0.045610482	0.119499949	0.0503576136	0.0869771932	0.02672548976	0.063426126	0.0754209532	0.2388059408	0.0752278212	0.0322012148
a31	0.092589478	0.04220035	0.092346548	0.076168135	0.1044297862	0.0863235782	0.1049598954	0.0228007088	0.0652910418	0.0997177596	0.092956581	0.0643183152	0.05589782644
