 	io	voglio	che	Maria	venga	qui	</S>
a31	0.524518922	0.0614259406	0.06096011558	0.009414001728	0.04901100984	0.15936843092	0.135301606
a39	0.41172313486	0.109221900612	0.03978158624	0.11342385601	0.1881875246	0.039913371368	0.097748691744
a31	0.1781775952	0.01636643528	0.05294997392	0.10266254943	0.231793961	0.34841871052	0.0696307996
a37	0.273775297	0.082900839	0.0308474638	0.13165984266	0.2414922268	0.188963691676	0.05036066246
a31	0.080790561	0.0694885076	0.0679782716	0.16406195752	0.282777825	0.24690763732	0.0879952914
a11	0.5742542852	0.0170114754	0.0647117354	0.12775174294	0.1725575152	0.02952660126	0.0141866634
a20	0.421746048	0.0461049722	0.07420151074	0.0830765568	0.2678356686	0.06216085944	0.04487438026
a4	0.2958689814	0.030358653	0.0434461372	0.05532356048	0.3162819816	0.14401181466	0.1147089135
a24	0.5904682388	0.0459201176	0.04738780728	0.0781922006	0.160229911	0.05880965508	0.018992077234
a31	0.4484545466	0.05789984	0.0389703184	0.0765282484	0.107264252	0.2210929572	0.0497898384
a11	0.3621195682	0.09920890252	0.0598856804	0.130971696	0.1983623396	0.099280644	0.050171174
a24	0.455756996	0.1028286664	0.0635644736	0.0710153874	0.1919542176	0.071685094	0.043195186
a31	0.394823848	0.1048018612	0.0795896092	0.095399842	0.128059752	0.1235315708	0.07379358
a46	0.23445883156	0.1003233176	0.096684648	0.118306692	0.203185892	0.1380358284	0.1090047968
a8	0.1979018332	0.120443983	0.1050106126	0.119564822	0.22552681	0.135953216	0.0955986948
</S>	0.274184608	0.15113286	0.10011481	0.0963545852	0.16932975	0.12657561	0.0823077646
