 	tu	le	hai	cucinati	le	verdure	</S>
a46	0.53416105192	0.3975751874	0.001341403528	0.0215218176	0.01617056388	0.01787134144	0.011358570132
a8	0.2221845516	0.267172234	0.045187632188	0.26993758	0.085192356068	0.09811947112	0.0122061617
a20	0.14110679222	0.03118483444	0.0406649991	0.44778966	0.07497626318	0.2455977114	0.01867970618
a8	0.033672125291	0.256226642514	0.135080196508	0.15972544	0.2104170968	0.1126898784	0.0921885924
a31	0.0718119788124	0.05950185896	0.1037490336	0.32298509	0.126210169	0.211866278	0.1038756178
a37	0.02760034826	0.2202494612	0.03503991032	0.285538813	0.1479020908	0.163260097	0.120409259
a10	0.01115514266	0.2121618015	0.0380917948	0.3224769512	0.1441777714	0.156167748	0.11576884252
a31	0.0430995652	0.23601179	0.0427422978	0.25171467	0.1407317444	0.206559716	0.0791402136
a21	0.03838361368	0.114200474	0.02468846064	0.3459391402	0.1643501796	0.225278912	0.08715919892
a31	0.03657570106	0.3379772886	0.038150975	0.2113426752	0.16862720612	0.1225457112	0.08478039804
a10	0.01573593974	0.3112757888	0.01982410444	0.246719244	0.1740780914	0.1660104996	0.066356382596
a17	0.0230713946	0.3076585828	0.0339473954	0.1767396542	0.1372556264	0.2195562372	0.10177111714
a20	0.07883037136	0.35444959096	0.0290889205	0.2748137548	0.097422721	0.0970304352	0.068364197914
a31	0.0258826986	0.270802007	0.0481596894	0.1598510616	0.1543529872	0.23211965	0.10883189268
a39	0.04786956136	0.32621174798	0.047103798	0.1459683308	0.1049806124	0.176174242	0.151691724
a31	0.12952346	0.223447398	0.0541752706	0.2946230028	0.0946150034	0.1088862884	0.09472961754
a8	0.128809782	0.215333587	0.1149967388	0.1088741216	0.0918328994	0.1279538254	0.212199028
a39	0.1702545384	0.2324264868	0.0892866334	0.1164033094	0.117265294	0.166332036	0.1080316764
a8	0.176360754	0.19476269	0.1219563368	0.1260285216	0.1166892858	0.13865239	0.1255500328
</S>	0.163192133	0.218447978	0.11453498	0.13918979	0.117875574	0.126646452	0.1201130572
