 	sono	stato	sempre	poveretti	</S>
a20	0.080625720458	0.136486412038	0.34781644268	0.301995209	0.13307621812
a4	0.006134906012	0.003610100764	0.477375212	0.369635478	0.14324432774
a31	0.0575155924846	0.0434166284658	0.1714277878	0.628153902	0.09948608274
a38	0.0026921250362	0.0611322240714	0.1687332872	0.705444528	0.06199781744
a31	0.0439027708208	0.0594485645332	0.26927336824	0.5530160832	0.074359209368
a7	0.0072899715478	0.0092575303	0.394098816	0.544658862	0.0446947666
a31	0.021329316062	0.0266500461728	0.1945461786	0.571828372	0.185646073174
a21	0.0147626931024	0.00793300706	0.1582238812	0.775705974	0.043374428472
a20	0.01841209064	0.0201545719966	0.206247078	0.570156578	0.185029683908
a8	0.0265433632	0.0247590106	0.388126232	0.350251252	0.2103201132
a31	0.074144957368	0.047255452907	0.2701916048	0.457775336	0.15063264732
a33	0.064978336476	0.07789424896	0.163141418	0.587584736	0.106401253
a20	0.1620333922	0.086998475146	0.284472608	0.3227913904	0.1437041392
a31	0.195959894	0.1474170096	0.188335002	0.2915022	0.1767858916
a7	0.243119751312	0.15557381918	0.1403527988	0.3326218658	0.128331746
a31	0.232345774	0.1945992874	0.222944845	0.2142003956	0.13590969
a11	0.124410689	0.24372408728	0.1473866488	0.32652674	0.157951829
a31	0.288910778	0.2542301766	0.202930964	0.1347461254	0.1191819708
a13	0.183647002	0.2606395404	0.1505946498	0.2121139786	0.19300485
a18	0.24005731	0.283507842	0.20044713	0.136743666	0.139244032
a31	0.275982222	0.2341463768	0.163443148	0.17416288	0.152265366
</S>	0.30482129	0.2111184034	0.163872132	0.16055606	0.1596320652
