 	sta	seduta	nel	giardino	</S>
a20	0.303625276	0.2055916692	0.036937166	0.33713098472	0.116714875364
a17	0.542368236	0.10641923616	0.016416392412	0.30757042756	0.027225718736
a20	0.3955220211	0.02103097664	0.01678934353	0.350925609049	0.21573209022
a31	0.18760622514	0.04474747164	0.1018172392	0.430301083052	0.2355279808
a17	0.09064842286	0.389081848	0.04095921036	0.458303234441	0.0210072486828
a31	0.242047494	0.0997523866	0.281613524	0.23521122428	0.14137537908
a46	0.3345231328	0.358217326	0.147093108	0.117637798896	0.04252859266
a31	0.1247156672	0.1760631275	0.26982843	0.21841334774	0.21097942046
a20	0.1225862952	0.2178289332	0.393012154	0.11116530119	0.15540729472
a31	0.16949680336	0.3193880726	0.143354008	0.1909703828	0.17679073086
a20	0.1849108004	0.27106679	0.305835352	0.1146251367	0.1235619548
a18	0.2500486378	0.3412587232	0.1448006418	0.13354614476	0.13034581968
a46	0.2615873592	0.290191325	0.159855482	0.138664613	0.14970123
a20	0.124153514	0.1491027632	0.1825662056	0.285424514	0.25875301
a31	0.093334094	0.1472330104	0.1852266912	0.311672464	0.262533748
a18	0.1388197852	0.215201142	0.238962008	0.274196726	0.1328203604
a31	0.255603012	0.170706556	0.164545532	0.196575587	0.212569305
a0	0.1818960252	0.293158204	0.218039268	0.162888755	0.1440177406
a31	0.240846462	0.2060767012	0.168940305	0.225673412	0.1584630988
a8	0.1792011852	0.246733888	0.211191052	0.173383142	0.189490696
a31	0.218685188	0.221977266	0.168365576	0.2386272586	0.1523446988
a18	0.235458236	0.2638891452	0.199781796	0.146133742	0.1547370604
a31	0.230234053	0.215077266	0.1601022024	0.2364380112	0.1581484798
a17	0.220808747	0.26593892	0.203663388	0.147831806	0.161757136
</S>	0.23074115	0.215239344	0.160514183	0.23909624	0.1544090588
