 	lo	sentii	che	viene	</S>
a43	0.5407473252	0.232922233	0.042637331892	0.0044977333826	0.179195351416
a17	0.457079082	0.432097492	0.04856212886	0.00573709637241	0.0565242175214
a11	0.32648145708	0.5431763972	0.088752967	0.0021177081634	0.0394714954104
a31	0.1262500878	0.5058145786	0.1693623186	0.11812281124	0.080450132
a46	0.2506901904	0.69878087168	0.0298178932762	0.0115052186158	0.00920589821755
a6	0.390426846	0.437899047	0.13756442008	0.012020100526	0.0220895494836
a31	0.504552402	0.209187875	0.123026787	0.1417941448	0.0214387864
a15	0.5657208	0.3429764718	0.0630592554	0.0179377932	0.01030564134
a20	0.50813371	0.2061047788	0.1055104122	0.12017314	0.0600779598
a31	0.314900766	0.2285083016	0.160614628	0.181828928	0.1141474062
a17	0.508833738	0.192933998	0.124725524	0.1272077578	0.0462989838
a31	0.4072532	0.1676547092	0.124327092	0.1324623446	0.168302684
a13	0.424486984	0.242748226	0.180336694	0.08625052	0.06617764
a39	0.311531086	0.2104130596	0.1354792644	0.1720422304	0.170534326
a46	0.3388598912	0.25914236	0.158897622	0.120996851	0.122103274
a31	0.352144834	0.216575656	0.147813494	0.142470152	0.140995874
a18	0.206227626	0.244390764	0.249045475	0.1700399872	0.1302961846
</S>	0.325612148	0.191811594	0.138119756	0.1724762116	0.171980294
