 	se	avevo	visto	nuvole	avevo	capito	che	stava	per	piovere	</S>
a31	0.05719107718	0.008983418608	0.08643571336	0.0096437319	0.06317463916	0.298515159514	0.033721057692	0.002177321314	0.011064504414	0.4212704944	0.00782291912
a17	0.069663742704	0.0281859484261	0.037959353092	0.131543631012	0.0619979854012	0.0270042888972	0.0112765371204	0.0108011844252	0.0067892622718	0.5872835094	0.02749450468
a31	0.005102002932	0.0012536951616	0.02553689094	0.02735868093	0.100616420195	0.017768202056	0.04171107806	0.0974523122338	0.0111232898254	0.6691973924	0.0028799936
a17	0.004520756	0.00514071468	0.037488882	0.04018243996	0.08376188536	0.04983912214	0.07067537902	0.0776488245442	0.07284091892	0.553277046	0.00462404286
a20	0.00714151308	0.007099044484	0.0271391704	0.01155585664	0.009260545816	0.004921666168	0.02261428608	0.13308380598	0.035703158126	0.7342302292	0.007250739308
a8	0.017366164572	0.005043615792	0.03240531284	0.01108773106	0.005058068652	0.002608833004	0.0039112147	0.119641350808	0.03446081752	0.754910056	0.01350682312
a20	0.11711492724	0.0124379451	0.070427327	0.0109696096	0.0051025907	0.00684977644	0.01770398076	0.09843412638	0.0273523404	0.6070237874	0.02658359142
a31	0.03066826208	0.03668855958	0.0384767782	0.0426696072	0.031707522268	0.03345663318	0.02824583348	0.026343564124	0.033536445	0.68287423	0.01533253252
a46	0.022182712672	0.02511504415	0.11907263722	0.08274490126	0.0366457743	0.024797421926	0.035745343058	0.017571510166	0.071997178692	0.549471031	0.0146563868
a31	0.0778537718	0.03440968233	0.0599088734	0.1106204593	0.0353925566	0.0589991386	0.0307856014	0.02107652478	0.0798655147	0.4203736738	0.07071420414
a35	0.03006861696	0.027012311028	0.05514826228	0.0787807188	0.04126178888	0.02627562446	0.02358689244	0.013593984612	0.06479672448	0.599692945	0.03978210784
a33	0.0680420246	0.029018313866	0.050944062	0.178553278	0.0522439117	0.0491472622	0.0237761172	0.0182551197	0.05420185616	0.3631963154	0.112621745
a8	0.07288477504	0.05142601692	0.0214298662	0.1371048756	0.0499571978	0.061877996	0.0194982714	0.03792287742	0.05144392084	0.4065452324	0.08990897876
a24	0.0943776362	0.068776004	0.0308043624	0.1405513348	0.0652105554	0.09943535524	0.0614457628	0.09059417206	0.05227188892	0.2141570892	0.0823758292
a27	0.1285065528	0.09753378326	0.0666872744	0.0920705378	0.0844277384	0.111195466	0.0565217602	0.0449632118	0.0785507754	0.1694033192	0.07013957348
a31	0.087951812	0.0658848272	0.110969111	0.1186338232	0.084858011	0.0694635116	0.0863046048	0.07112230512	0.0835026398	0.1677050258	0.0536043016
a10	0.04596624224	0.02532070718	0.0706887306	0.0768498062	0.0660415916	0.05960456106	0.1185986279	0.04945570394	0.106152617	0.3508323024	0.0304890798
a11	0.1978419766	0.04063709206	0.0430785022	0.1050064948	0.082817709	0.169310865	0.087968836	0.05506126924	0.03383256308	0.1226384122	0.06180628
a24	0.1785907156	0.0771342132	0.0639392844	0.106565112	0.0959874242	0.0800163162	0.102596758	0.0831300357	0.04152348128	0.1127326376	0.0577840536
a28	0.168408793	0.1087351842	0.0768496042	0.0865998784	0.0884294142	0.0855825808	0.1123837028	0.06661230932	0.0425515878	0.1070298652	0.0568170674
a31	0.1613440372	0.06446962	0.082154485	0.0918080868	0.101211732	0.0702525002	0.1184710428	0.098532687	0.054427534	0.089836212	0.0674920618
a46	0.089550652	0.0566930288	0.0773430664	0.0767086396	0.0935753196	0.0859493264	0.132842512	0.05841128394	0.0717449054	0.1683054612	0.0888758128
a31	0.1067691456	0.0569944178	0.0683645134	0.1237792416	0.1109881876	0.1465097814	0.0813456424	0.086113989	0.0491517436	0.0894793398	0.0805039922
a26	0.1222015608	0.0861822668	0.080013008	0.0854501768	0.1035725048	0.0981493214	0.090352498	0.0717743765	0.0595763217	0.082544535	0.1201834284
a31	0.0886105044	0.0704958356	0.0994077838	0.1010902548	0.109318886	0.109321322	0.0971329632	0.0911914818	0.0641149472	0.087303665	0.0820123606
a46	0.0779006206	0.0764071256	0.0877805824	0.093196426	0.104702404	0.100047751	0.0808532734	0.0834371794	0.07650947908	0.07470424648	0.144460886
a20	0.0783451934	0.0615951288	0.0891206476	0.1174579534	0.104512558	0.1082850374	0.0924472998	0.0880434694	0.05893315188	0.1216004214	0.079659182
a35	0.1037643288	0.084078659	0.0903355876	0.0989656892	0.108131412	0.1113250196	0.0978527912	0.0721973128	0.0617095208	0.0889590784	0.0826806144
</S>	0.115396869	0.0805782796	0.0898469524	0.0917772874	0.1212588492	0.116258242	0.1001794692	0.065826329	0.0644613994	0.0690664598	0.0853498732
