 	ha	che	sono	usciti	</S>
a31	0.5904191478	0.01903399074	0.005798601564	0.054235615428	0.330512604598
a13	0.80850942	0.041576287	0.0093182295836	0.0123981724226	0.12819787768
a8	0.46705701276	0.32753103866	0.0018286173132	0.0967378376227	0.106845498368
a24	0.233007278	0.3254826448	0.0281926025	0.1963784162	0.216939090372
a31	0.35930270462	0.15217550274	0.122041219	0.100729302126	0.2657512792
a0	0.3784449268	0.0563390806	0.09572670754	0.0659620442	0.403527252
a31	0.183573872	0.094858939	0.1645718626	0.2533805	0.3036148008
a8	0.191191566	0.150012069974	0.1515378372	0.1259215216	0.381336956
a23	0.1014399554	0.1398474224	0.226513924	0.2864042378	0.245794432
a8	0.164316197	0.163606335	0.256289922	0.2529725768	0.1628149846
a23	0.147854598	0.145649146	0.308156148	0.2498489946	0.1484910828
</S>	0.1905636484	0.16084756	0.322385534	0.220698873	0.1055043624
