 	deve	essere	bianco	</S>
a31	0.2703136304	0.232361927248	0.483901049856	0.013423421428
a11	0.2986776664	0.185284082563	0.506153337	0.009884975052
a31	0.004794725136	0.0212715661516	0.861955016	0.11197869686
a37	0.0339403884	0.037980485402	0.88101116	0.04706797088
a31	0.00889978538	0.013437026482	0.913722232	0.0639409574
a37	0.00971365468	0.01782391466	0.815720912	0.15674151554
a31	0.081500567148	0.180807817624	0.556529244	0.1811623974
a20	0.05005819388	0.116238483	0.410331	0.42337233
a31	0.1152568092	0.26496927368	0.383059596	0.236714294
a0	0.112792598269	0.21029917014	0.28357229	0.39333596
a31	0.192578334	0.305451268	0.335289534	0.166680839
a20	0.1737332631	0.22145811544	0.325061992	0.279746666
a18	0.2118126168	0.382051692	0.232387918	0.1737477652
</S>	0.355154834	0.289712472	0.193062054	0.1620706554
