 	ho	cosa	a	fare	</S>
a23	0.579543868	0.24102040052	0.05373814132	0.02518690516	0.100510709778
a17	0.607595306	0.317287054	0.03116198278	0.02024326264	0.02371238232
a31	0.2633967268	0.259316985	0.1996962592	0.1169482368	0.16064177844
a8	0.1245402886	0.5863196	0.19914200126	0.079068126608	0.010930019156
a31	0.473192705	0.225698975	0.0766817006	0.0909106012	0.133516031184
a13	0.4914132814	0.282117944	0.0670464031	0.09036078026	0.0690616018
a24	0.5169826288	0.2888571088	0.0825332092	0.07636904944	0.03525801054
a31	0.4015585454	0.1694128868	0.134499564	0.1379964168	0.1565326388
a13	0.526227644	0.13483782	0.0888439486	0.0860840846	0.164006474
a31	0.2226099048	0.1209727144	0.0968692764	0.149095296	0.410452796
a18	0.225409676	0.292750526	0.155691814	0.127843567	0.198304392
a0	0.2790525288	0.2041236648	0.11329865	0.1266707744	0.2768543668
a39	0.243511576	0.209719552	0.181784323	0.139203103	0.22578147
</S>	0.2098872652	0.20752706	0.20522207	0.1516939636	0.2256696676
