 	voglio	che	Maria	che	venga	domani	</S>
a8	0.3009376194	0.13602042458	0.02366916786	0.13687477054	0.1653749087	0.15879520638	0.07832788226
a31	0.17810727706	0.0255558482	0.053225702244	0.1427392143	0.360943165	0.137577090539	0.10185173346
a8	0.01929263546	0.041166440484	0.0124909247976	0.125809229151	0.5822876226	0.188392929388	0.0305602306
a31	0.05948988224	0.05583172546	0.037816180292	0.225669974	0.2976189674	0.128903311175	0.1946700104
a24	0.03898915588	0.2642419394	0.05945931968	0.1771089706	0.1527263858	0.10558857686	0.2018856302
a31	0.00862797246	0.0446722	0.02825774408	0.14721132847	0.2929171478	0.11807772158	0.3602358844
a46	0.10686162672	0.2374306894	0.136398168	0.1865741171	0.115109098	0.13974647826	0.0778798564
a31	0.05416066596	0.1739471246	0.0512474628	0.070350769	0.1723558412	0.27065732556	0.2072807642
a29	0.054302658	0.1156511068	0.0884017528	0.1153335584	0.231971488	0.283673504038	0.110665935666
a20	0.0734278578	0.143214373	0.074422158	0.0660835712	0.260076115	0.2220909016	0.160685034
a0	0.171084867	0.180609314	0.1342842628	0.0774213368	0.1399526882	0.1594440496	0.1372034928
a31	0.0860708234	0.163811202	0.18029711	0.0801165714	0.1096422536	0.2194261112	0.160635955
a23	0.11170783405	0.079641492252	0.0679668514	0.060009273	0.2617290508	0.228248321	0.190697192
a31	0.16416047	0.1406579116	0.0941696138	0.0805100644	0.196127294	0.1779921188	0.14638257534
a18	0.125016204	0.0979261144	0.140648436	0.0984724212	0.206223238	0.161177124	0.17053642
a37	0.1907679	0.1405570188	0.122806484	0.09663195	0.1246683414	0.181637276	0.1429310292
a31	0.175234654	0.132585276	0.10882626	0.106591354	0.1673219192	0.15973289	0.149707642
a20	0.14597130084	0.122340048	0.118633206	0.1088512908	0.1876513252	0.156898968	0.159653858
a31	0.183007299	0.1565719172	0.130804041	0.116387395	0.1182317384	0.179302964	0.115694627
</S>	0.1221903786	0.1205312168	0.147499306	0.1125702332	0.113620948	0.223675488	0.159912406
