 	lo	sentii	ee	che	arrivava	</S>
a15	0.3830664172	0.3540223173	0.04403829956	0.006443116712	0.021132427392	0.191297408627
a31	0.273026699214	0.1962719756	0.25685840736	0.07475901905	0.08774382766	0.11134002916
a46	0.1177396822	0.588509554016	0.033757943398	0.021588998382	0.176573592291	0.061830163734
a8	0.1959686538	0.338210745	0.215680924	0.01531465464	0.22403791777	0.01078712638
a31	0.16852536918	0.00924536762	0.239161954	0.003375793492	0.5586335922	0.021057929616
a23	0.0325412236	0.0580790916	0.1966905952	0.049057930706	0.65398974	0.009641424776
a8	0.067156666044	0.003091178288	0.2075594116	0.0073597443	0.684327994	0.030505006846
a38	0.1635898291	0.01095231175	0.4724366446	0.0282060434	0.290772888	0.03404226181
a20	0.109792967974	0.01143140886	0.2701017374	0.03724140542	0.500800022	0.07063244816
a28	0.10709025851	0.02842118506	0.23613107	0.06375667839	0.488268918	0.0763319164
a20	0.10175763876	0.05149692898	0.182537243	0.06544972004	0.531023814	0.0677346084
a23	0.10841751912	0.05936593784	0.191028461	0.08610555742	0.507809586	0.04727294
a31	0.11483620748	0.0737629899	0.200344272	0.09187148782	0.461256092	0.0579289998
a29	0.055841037226	0.01345807287	0.432162842	0.02345634464	0.437193156	0.037888530064
a33	0.1457768326	0.0537227354	0.248588333	0.0674247792	0.3507991	0.1336882126
a29	0.1303954233	0.0498697768	0.3664448392	0.08311000166	0.3081801056	0.0619998418
a27	0.158082676	0.0908859278	0.295645079	0.0778564852	0.262669636	0.1148602164
a46	0.1768441892	0.1302189852	0.2815777242	0.0694994848	0.22446018	0.1173994708
a20	0.223258372	0.189573512	0.2365567506	0.0877977016	0.173955188	0.0888584702
a31	0.2222724328	0.1234239464	0.251210181	0.1265455612	0.201492684	0.0750551826
a7	0.1229612516	0.069937765	0.315949334	0.0659478478	0.336808506	0.088395317
a1	0.217958434	0.136837238	0.202385331	0.138880588	0.164037534	0.1399008412
a20	0.199674796	0.151629674	0.163102261	0.1654424	0.200686032	0.119464835
a31	0.144716234	0.1010072536	0.1902490448	0.152379578	0.2752514052	0.1363964868
a20	0.120821096	0.0825323288	0.228670286	0.149746211	0.26844062	0.149789458
a31	0.197332838	0.136179526	0.196200965	0.1778357152	0.138044616	0.154406326
a23	0.1097662928	0.120979569	0.22408845	0.1379482064	0.2237231406	0.18349433
</S>	0.193154446	0.14689515	0.179555628	0.1897399714	0.12939544	0.161259371
