 	venne	scritto	</S>
a31	0.7919122254	0.01760197784	0.190485827092
a28	0.785609876	0.19409197444	0.020298149074
a8	0.846934252	0.1495597622	0.003506018979
a31	0.563624964	0.4012928168	0.03508222944
a20	0.7657359256	0.076408043526	0.15785599176
a31	0.389211278	0.362943822	0.24784489068
a13	0.5205738968	0.318095826	0.1613302884
a29	0.656848698	0.2583632968	0.0847880076
a39	0.59496291	0.221416554	0.1836205526
a31	0.595839354	0.211200854	0.192959752
a35	0.388663908	0.34146364	0.26987248
a31	0.503736328	0.212862396	0.28340124
</S>	0.256663966	0.358371998	0.384964066
