 	devo	pulire	l	albero	</S>
a39	0.55477723088	0.2251658276	0.0718514188	0.141193288256	0.00701225816
a31	0.3714370881	0.215590835	0.07360179726	0.32872024509	0.01064997042
a35	0.2070117374	0.3476948268	0.229074044	0.20040572696	0.01581368784
a31	0.1517374824	0.24812262	0.237018178	0.2213503352	0.14177137142
a20	0.1116961	0.2806971024	0.15367304312	0.2182068802	0.23572690462
a31	0.1317898134	0.297017814	0.085959989	0.344367768	0.140864605556
a37	0.123789419	0.2074246406	0.14733524476	0.4512622804	0.07018843484
a1	0.1172729024	0.294885622	0.0669697488	0.4038987374	0.116972916444
a20	0.1109473658	0.317138716	0.1009076414	0.21012478	0.26088149618
a31	0.150114276	0.277939254	0.1146750454	0.195667748	0.26160367
a39	0.06144509932	0.236936808	0.110911586	0.465593198	0.1251132428
a10	0.4213626582	0.093310966	0.06266203452	0.27372693	0.1489374058
a29	0.1079219514	0.21056069	0.0868337188	0.28565082	0.309032794
a46	0.1899432628	0.1179005376	0.0931078756	0.255017816	0.344030534
a31	0.157730946	0.0866162298	0.0893300718	0.418355796	0.247966948
a20	0.1718530952	0.191857664	0.123439418	0.342362524	0.17048729
a13	0.481198974	0.0874400032	0.0738307916	0.179371088	0.1781591716
a20	0.214403954	0.109549676	0.0918423274	0.384583358	0.199620684
a31	0.1478007472	0.0906618968	0.080149816	0.51099654	0.1703909604
a11	0.243574228	0.1958221	0.1375781428	0.271117076	0.151908438
a17	0.401175316	0.1562135636	0.1266258128	0.151936096	0.164049244
a20	0.215809426	0.166422	0.166302794	0.291099782	0.160366
</S>	0.286360556	0.1414360736	0.121023042	0.296295584	0.1548847452
