 	mia	figlia	vuole	andare	</S>
a46	0.798730756	0.09824664236	0.038384496964	0.0274585006088	0.037179613434
a31	0.566642412	0.341832256	0.0831705148	0.00207370260078	0.006281098636
a7	0.339661836	0.2010358024	0.351097646	0.100019825675	0.0081848643488
a20	0.236256904	0.268323604	0.4437443594	0.042772999812	0.00890208245
a31	0.280203954	0.434828524	0.264983707	0.0097642218884	0.010219553148
a46	0.4103029292	0.265716432	0.2770430116	0.04369049832	0.00324709378
a31	0.51705	0.234756316	0.1648463988	0.05839533612	0.0249519308
a46	0.18995548	0.3964514494	0.24432497612	0.13242596617	0.036842155
a31	0.2979514114	0.25031623	0.0963517238	0.1602858954	0.195094736
a11	0.3284611828	0.1514881552	0.16106474	0.176100782	0.182885134
a3	0.2545177448	0.238038242	0.1275579596	0.1546075352	0.22527849
a31	0.2814113	0.177001968	0.163522572	0.161274327	0.216789826
a27	0.1552172374	0.1608395232	0.203339588	0.273698966	0.206904714
a0	0.333774806	0.158575694	0.148052366	0.130219516	0.229377598
</S>	0.404176128	0.1921213856	0.1103371784	0.1157860112	0.177579317
