 	perché	aveva	lavorato	tutta	la	settimana	</S>
a31	0.40005617	0.121349877	0.059178659	0.1002730884	0.01667660172	0.23201069072	0.07045491106
a20	0.0285141802	0.02447483497	0.292403733	0.0275398638	0.059366797918	0.5485325716	0.0191679929
a31	0.25514417451	0.014035178814	0.0560075576668	0.0421059780943	0.025160971988	0.5731883012	0.034357834108
a18	0.0911453726	0.0185301899024	0.309927319472	0.06469868293	0.03286000912	0.456074374	0.026764072
a31	0.16067061956	0.019488248701	0.09563694242	0.16235014152	0.01396302482	0.53494328372	0.01294777726
a37	0.279716911	0.0372686907078	0.15242482392	0.151216662088	0.013061604854	0.3562869243	0.01002436304
a13	0.1814161472	0.02276959958	0.04650716246	0.167573450757	0.02219428334	0.52112493574	0.03841442502
a31	0.2434011882	0.01637215324	0.098176839	0.124729524994	0.0578618362	0.354398079	0.1050603586
a20	0.2051558178	0.04261403604	0.079191679	0.213285648134	0.08471524218	0.3650233382	0.01001424524
a46	0.1668467258	0.0363353114	0.1328505316	0.10694072856	0.1681401338	0.3105161348	0.0783704102
a31	0.16958638	0.0396896544	0.0882617264	0.10679418204	0.176074194	0.338373344	0.0812205518
a13	0.221673384	0.06650526486	0.0595079504	0.1242492866	0.1362287824	0.287128528	0.1047068244
a20	0.2250328512	0.0864380808	0.105747674	0.0800429036	0.166393398	0.227696322	0.1086487678
a31	0.177568318	0.0644581106	0.100417351	0.0978679312	0.17873211	0.267756616	0.113199536
a46	0.14359108	0.07454674432	0.0785431372	0.0907979102	0.169077274	0.308071404	0.135372428
a39	0.213129488	0.123670616	0.1015384732	0.0823918854	0.1507748088	0.201693718	0.1268010096
a41	0.181752498	0.1131462576	0.104357588	0.102781506	0.163581278	0.20392825	0.130452612
a46	0.166945916	0.118643566	0.1059467784	0.102263151	0.1699853088	0.213194664	0.12302065
a39	0.1421549816	0.100680172	0.089949352	0.1045525512	0.168671206	0.271951626	0.122040088
a8	0.1572492396	0.0873081284	0.08021363	0.073003761	0.147144848	0.31894458	0.13613585
</S>	0.1458457956	0.0902016328	0.0737177644	0.1242890432	0.172486305	0.287432382	0.1060270726
