 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a23	0.235410783906	0.097666125724	0.06468430642	0.13090301264	0.1139283844	0.0131360015	0.011593912832	0.0911810935	0.0238738331	0.2176225456
a31	0.1776480704	0.007398252616	0.00413720642	0.01532575672	0.12734794596	0.0138654742334	0.067930921256	0.29074356448	0.08543811592	0.210164738
a28	0.05614202054	0.03559711608	0.02695287952	0.13847780446	0.030090434568	0.135147772936	0.121844155194	0.21847904806	0.11384764416	0.12342113732
a31	0.1960892196	0.05843999698	0.04336408384	0.07905845416	0.15947448452	0.084581906657	0.114490008433	0.11418013686	0.089692570926	0.06062915552
a29	0.0562643356	0.137959856854	0.04605017458	0.102046974	0.23658469458	0.0896018125254	0.208807051815	0.0081762368424	0.018240829242	0.096268049048
a39	0.04940096314	0.0380029902	0.01412645048	0.2956245406	0.2609211041	0.102821529158	0.083028796812	0.01487283958	0.0874499073	0.05375086484
a31	0.1020018648	0.01944278825	0.0125993499	0.18541057568	0.1792181992	0.0889142492	0.13577382856	0.07383355016	0.14195592112	0.0608496949948
a39	0.25586283064	0.134471624516	0.01295955708	0.3559856136	0.1225248638	0.043573281226	0.0325401639	0.0125971557228	0.026988374322	0.0024965063492
a41	0.314973339	0.020276927	0.04511454304	0.156778382	0.0483417784	0.0589399402	0.16543577812	0.063381907272	0.07265141238	0.05410600698
a10	0.1970115116	0.01968485662	0.0805854406	0.188286342	0.0793535652	0.0554054084	0.166708263	0.07448378634	0.0500827638	0.08839807866
a31	0.0661924622	0.0149799803	0.0216284596	0.221605593	0.1596893746	0.0993132152	0.1581494472	0.11087773152	0.103900904	0.04366283136
a18	0.2228912684	0.0466184713	0.02023055466	0.2359624164	0.0796831476	0.0745516582	0.066737988	0.10787982316	0.1181938962	0.02725077106
a31	0.1998549534	0.0511536042	0.0517891162	0.1109729096	0.0820225222	0.069951562	0.097205154	0.19384015	0.0728492582	0.07036075994
a3	0.2137622633	0.05870941108	0.05430969914	0.1953629638	0.065052526	0.0795658968	0.0907243748	0.1049366468	0.0924025892	0.0451736232
a18	0.1577625776	0.0741535446	0.085631074	0.111092352	0.0845956744	0.0678407908	0.0741104668	0.1528629396	0.119314709	0.07263590876
a31	0.1002326248	0.0883106204	0.094379288	0.0997347992	0.1053140824	0.085278888	0.0745481018	0.143494714	0.1284576672	0.080249232
a23	0.09336847633	0.0637168602	0.0739820712	0.0696629056	0.065361119	0.1093247782	0.0901594006	0.1507092024	0.165806054	0.117909129
</S>	0.128943158	0.096839429	0.105622125	0.1079787046	0.0944142336	0.0762753982	0.0696263184	0.1102466192	0.122668796	0.0873852082
