 	se	si	era	vestito	la	figlia	l	avessi	portata	alla	chiesa	</S>
a31	0.0768170267414	0.146938210183	0.0247822756764	0.00803766476	0.00486518416	0.02899916304	0.028376869292	0.01342097414	0.39276544528	0.033141044036	0.22839780206	0.01345832658
a20	0.004835206132	0.164699112776	0.0592829427728	0.139493607008	0.0287792057795	0.0180051218164	0.010191378388	0.007793608236	0.165610121174	0.027542167892	0.3698441514	0.003923392164
a37	0.0382486356288	0.0699153256028	0.0358927963128	0.0145515929006	0.0188281550335	0.0087787816076	0.006608115172	0.179693728568	0.459090426	0.0196286607032	0.13249134344	0.016272435266
a24	0.0454339548176	0.03114050969	0.00528870438	0.005735791164	0.047754980858	0.039986839408	0.03222223484	0.09171189342	0.4794857247	0.071007605462	0.097352888244	0.052878831124
a31	0.022331729718	0.038417547488	0.00687274828	0.00868142857	0.035745953579	0.086633811916	0.058639807788	0.0406148791	0.20148711698	0.0422498434	0.4232298184	0.03509532746
a39	0.003952048036	0.163463887356	0.028354535232	0.047032047216	0.090009915311	0.044855274152	0.0240654575452	0.0509377866662	0.178796944854	0.0848569658032	0.282557714752	0.001117429304
a31	0.01477844997	0.018115646452	0.010306671524	0.01617214657	0.0345897905468	0.056019099544	0.06263707952	0.026740260788	0.078260928596	0.057789408876	0.6026783822	0.02191212116
a24	0.015381782	0.09796339936	0.02924153454	0.04783693548	0.0902350507469	0.07714760409	0.034548741478	0.062294122436	0.21007684184	0.0424099268744	0.28639821854	0.006465889748
a31	0.01302544144	0.01785466552	0.014385806196	0.02665446094	0.025461796008	0.04786518826	0.089931237136	0.029151200736	0.102238965914	0.097371027372	0.516718194	0.01934204468
a28	0.049288037836	0.03788106852	0.01605173396	0.0440008208	0.082749258277	0.043351782522	0.0446372268	0.04400070365	0.097562085114	0.0373929351	0.47637647152	0.0267078543
a24	0.00296690088	0.02023824596	0.018719366604	0.040122403216	0.034287152306	0.0462900089	0.06294686758	0.03120331872	0.14296472737	0.07389038106	0.5126749566	0.01369567644
a8	0.020208901	0.0780140526	0.0211723068	0.03124493284	0.0197205430892	0.03291339927	0.0795248433	0.03447352058	0.12167101866	0.06810413596	0.458964428	0.033987868
