 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a23	0.51787888972	0.064126363388	0.075748702942	0.00312123056	0.021647624246	0.02097193494	0.01465471798	0.03188215784	0.0341095594	0.01819887436	0.19765996024
a31	0.38064439506	0.024483388384	0.047873027268	0.022660489396	0.0637484250828	0.0428113245492	0.0226265230158	0.14061702902	0.0768505812	0.01703220464	0.1606526304
a20	0.28784864594	0.095012643228	0.08428392322	0.007339870174	0.0080431530524	0.183906697388	0.0139361885862	0.04683831146	0.19031617256	0.009607533148	0.07286686252
a31	0.1776051436	0.06442924492	0.04201494446	0.01813315216	0.0957478953254	0.071672222066	0.0232136550908	0.14258349623	0.26569549344	0.0539599164	0.04494485744
a7	0.05385678922	0.11314549658	0.089319317514	0.021193957948	0.0537985665283	0.0732456119679	0.0356787394046	0.178234215	0.1301816604	0.150134441544	0.10121121273
a31	0.13737406314	0.01430413804	0.0636059464	0.02660064912	0.161296382383	0.078076382464	0.01201140707	0.135796879264	0.1533600574	0.16620654566	0.05136753762
a24	0.165740936572	0.06462163666	0.2212321344	0.0398505238	0.0517691491344	0.0423814175047	0.034702285024	0.1017227522	0.1283599918	0.130862830388	0.01875635006
a37	0.33186179876	0.02071879264	0.0284194426	0.05182032868	0.05523768856	0.06403528104	0.0230216732	0.1532341752	0.124600152	0.0701026842	0.0769479727
a31	0.11434429628	0.0425077896	0.060280099	0.06675987186	0.095567402416	0.074743377116	0.0306576268	0.11774377	0.1495763094	0.14224310244	0.10557633478
a11	0.2607655716	0.0457671066	0.0510859562	0.08196225714	0.08126031751	0.11340476021	0.042050230432	0.1340158216	0.09885128332	0.07038565508	0.020451027592
a31	0.18103153694	0.1259005031	0.0648939564	0.1152403568	0.0741010808	0.107779965	0.06037731048	0.0904827796	0.0638981912	0.04884033204	0.0674539957
a3	0.2328214326	0.0498758974	0.0632473764	0.07202058152	0.08160240273	0.103421506882	0.055984905986	0.1949260118	0.0599317878	0.04873013446	0.03743796558
a27	0.13498034994	0.1215461706	0.0627799686	0.101880253	0.0699859494	0.0955395866	0.09096104074	0.114889262	0.0957757752	0.0647672254	0.04689438804
a20	0.171095678	0.0939453824	0.0729124632	0.1111457984	0.0887924016	0.0789313926	0.07627219492	0.1114789016	0.08696734	0.0564915846	0.05196685784
a31	0.131248577	0.088261304	0.0554982086	0.08240251	0.0769115678	0.078924199	0.0837520608	0.1135973754	0.118857144	0.095075321	0.0754717405
a20	0.2292002324	0.04858642112	0.0476749268	0.0555659504	0.0668381896	0.080069613	0.0879506608	0.0966450584	0.1795521924	0.0578504414	0.05006631168
a11	0.1897889748	0.121647438	0.0561789058	0.0716979792	0.098164804	0.115842632	0.0721072436	0.0777418408	0.0655174722	0.06051580794	0.07079695586
a13	0.162956246	0.112470008	0.076514018	0.096311742	0.0823816716	0.084796864	0.07463118	0.0842906814	0.093604162	0.065418209	0.0666252184
a28	0.255046798	0.0973980612	0.0663530088	0.0735524256	0.0773650502	0.077520094	0.0612930564	0.076870792	0.0794829212	0.0646852086	0.0704325978
a31	0.2005801374	0.0684724556	0.082473182	0.0508189806	0.0764485348	0.089084854	0.0541780288	0.0856854872	0.1027980302	0.0688342574	0.1206259966
a39	0.2394604228	0.0761379382	0.0693750544	0.052768296	0.0632989172	0.0869565	0.082865654	0.0841008238	0.078907194	0.0850860748	0.081043133
a31	0.1583588022	0.1223980508	0.0803818222	0.0710376392	0.0795250386	0.1090829028	0.072396634	0.07639936	0.0671731808	0.0717617704	0.0914848116
a8	0.0920536628	0.086659306	0.0825982324	0.07241593	0.089552988	0.1079081832	0.0931960996	0.0971777138	0.0869155606	0.0887285732	0.1027937488
</S>	0.129670236	0.0986310126	0.0851746532	0.102512408	0.0953644752	0.110950916	0.0880300152	0.0776380742	0.0707242338	0.0766154504	0.0646885648
