 	non	ho	dove	d	andare	</S>
a20	0.2320605128	0.1643509138	0.228579390564	0.01350617214	0.048789096796	0.312713928782
a31	0.0714654464	0.1807469039	0.5124795008	0.060638050302	0.00359951842	0.1710705394
a37	0.0897235179	0.0898465876	0.4392186228	0.203230847421	0.106522528591	0.0714578922
a31	0.173791517548	0.1984850266	0.224407888	0.259852236052	0.10532060766	0.03814271752
a29	0.07387463602	0.0555044724	0.39168169	0.419407533985	0.0530381844214	0.00649345654
a41	0.1848872066	0.3077501986	0.442581696	0.04264436728	0.00683786102	0.015298641508
a31	0.0976416608	0.1552890234	0.4362324366	0.22656534	0.05743130502	0.0268402074
a18	0.1702123832	0.2951341684	0.283955362	0.1759029296	0.0495035264	0.0252916618
a31	0.06318345692	0.0791130172	0.12107273565	0.365347908	0.2283726492	0.1429102398
a39	0.2557964926	0.125930676	0.1443490594	0.159808627	0.118120749	0.195994386
a31	0.0906917848	0.1091029002	0.0924093332	0.373768376	0.086494777	0.247532834
a8	0.08811320746	0.095246512874	0.124292116	0.2511770464	0.137427248	0.303743848
a31	0.106133211	0.091660035	0.087938757	0.320348058	0.150855124	0.2430648136
a8	0.09681427366	0.0921830489	0.118489384	0.307949656	0.157326008	0.22723764
</S>	0.1254309972	0.117427267	0.1422024616	0.253170988	0.1623417184	0.1994266
