 	sembra	che	il	ladro	è	entrato	da	qui	</S>
a31	0.04502560082	0.141212286602	0.227276433826	0.238630853309	0.0197398188	0.0423509391788	0.0306914116	0.18238087662	0.072691789492
a28	0.03490715614	0.08808481292	0.372535796	0.282522549372	0.0226980769892	0.0342125000191	0.0471033396935	0.104028638536	0.01390709712
a37	0.01630600872	0.04845713214	0.15030671272	0.55496252318	0.0205153950328	0.169509305841	0.0080943436968	0.00386788123	0.027980725812
a31	0.141168278801	0.0414963170696	0.090326253574	0.410422976377	0.106178879361	0.0917341604592	0.00752526831	0.043559499186	0.06758837539
a11	0.0808647147732	0.03012401746	0.1821429458	0.495455790804	0.0945580274183	0.0863408199702	0.0135222319287	0.00522865837	0.011762793354
a31	0.2050702105	0.049839619	0.1458756494	0.2531243523	0.106043263924	0.055015565026	0.05118935868	0.0354464559712	0.098395529412
a20	0.189942605032	0.01488762984	0.0463820126	0.5247492726	0.113253451749	0.0682813735614	0.028369820584	0.00637140384	0.007762397962
a31	0.14305707948	0.06201986	0.06628751	0.24289462434	0.06942353856	0.05693173024	0.14708949094	0.12196698792	0.090329183948
a39	0.19504140042	0.05349832932	0.107065524	0.31253360006	0.146222810764	0.048680841232	0.07779062322	0.03058779437	0.02857908794
a31	0.17182235586	0.079862247	0.0694643628	0.2037253436	0.0607268924	0.0402297896	0.15173978	0.1729964094	0.04943282744
a13	0.2201014988	0.1067635418	0.1522062336	0.206442837	0.0831502788	0.05428185358	0.0718993682	0.05620481828	0.04894955472
a31	0.1621074386	0.0917711316	0.0792905288	0.185399026	0.083932552	0.0575926946	0.148683411	0.1290105608	0.06221260964
a13	0.19849334134	0.1077033448	0.1264037856	0.231712539	0.0879750606	0.0577167722	0.0711818442	0.0620974642	0.0567158788
a31	0.1806889086	0.100257826	0.0854814436	0.174656674	0.109416226	0.0664974776	0.1124152072	0.1023418	0.06824445168
a39	0.18111255304	0.100282889	0.1038722614	0.252803752	0.094667859	0.059811611	0.0702515778	0.068398296	0.0687991938
a11	0.201598554	0.1218427492	0.0980069946	0.166975828	0.1045735454	0.0696051888	0.0880704986	0.0855794864	0.06374715554
a46	0.161959182	0.1431110352	0.110166726	0.1748891404	0.1521241888	0.0659213208	0.0780764962	0.0628016704	0.05095023766
a18	0.165404362	0.1099477	0.100573855	0.259036986	0.1034846728	0.0588344846	0.0887818854	0.066247697	0.0476883634
a31	0.157148232	0.105600828	0.0729647202	0.273601814	0.0690242214	0.0484352552	0.1222826758	0.094701725	0.0562405184
a39	0.1765657868	0.108583794	0.0898905594	0.215155585	0.0976959244	0.0486975792	0.0669221108	0.0978202544	0.0986683876
a18	0.1815234308	0.1409616292	0.125394008	0.2324126804	0.058469574	0.0508964036	0.0882856092	0.0705960134	0.0514606804
a46	0.160459998	0.12768528	0.094724656	0.267824404	0.069490505	0.0608148072	0.0735159254	0.078064649	0.0674197464
a31	0.130429718	0.1012165732	0.090409176	0.28112102	0.0922766252	0.0631995246	0.084910442	0.0872453448	0.069191622
</S>	0.15106162	0.108418704	0.089052254	0.162814536	0.1103706218	0.0684255724	0.0796584314	0.1154822588	0.114716008
