 	l	ho	sentito	quando	veniva	</S>
a31	0.586624498176	0.043821143212	0.0823893472327	0.000971467732	0.285878982876	0.000314604203
a46	0.38312025954	0.17338648057	0.17307316003	0.008463618752	0.26080365	0.001152820136
a41	0.173981205	0.43306402516	0.148281567992	0.130091885287	0.10392259738	0.0106586631636
a31	0.220081956744	0.279227995	0.06009555794	0.125846146388	0.12162258	0.193125773132
a24	0.11771936577	0.29260788	0.073251565688	0.15166452958	0.214236482	0.1505201917
a31	0.3675482084	0.05359798276	0.0303190877	0.2000710354	0.1901098914	0.1583537915
a15	0.4929349934	0.1373187636	0.061001379436	0.1666765796	0.069212895	0.07285535656
a46	0.448682099	0.079204414	0.05219520116	0.1745012268	0.1302260828	0.11519098818
a31	0.2357538248	0.10261097316	0.063324631562	0.1661829022	0.2802476906	0.1518799407
a0	0.134230858472	0.1075539788	0.1524151812	0.1846693786	0.307553632	0.1135769746
a41	0.332176032	0.1045612964	0.1827372762	0.14088601332	0.120577135	0.1190622608
</S>	0.2978596004	0.137632402	0.1516328688	0.1610902038	0.1407790008	0.1110059086
