 	essendosi	vestito	</S>
a46	0.5903525478	0.4004973858	0.0091500612296
a31	0.46637026064	0.523085934	0.01054379374
a18	0.2383386652	0.7404434	0.021217909632
a31	0.393056782	0.574615802	0.03232740208
a20	0.702121962	0.2824193196	0.01545875559
a46	0.322088108	0.550128462	0.1277834212
a20	0.5532715408	0.346100202	0.1006282366
a31	0.345959776	0.4486325728	0.205407688
a0	0.403745418	0.377878532	0.218376098
a46	0.420463297	0.4017473792	0.1777893252
a35	0.438389828	0.362087756	0.199522378
a46	0.46400271	0.293242646	0.24275467
a24	0.517911846	0.246667164	0.235420986
a46	0.5106349	0.305327142	0.184037946
a24	0.507579626	0.26191219	0.230508162
a31	0.479919708	0.347919332	0.17216099
</S>	0.3883896354	0.426399904	0.185210442
