 	viene	fabbricato	</S>
a31	0.19608335414	0.714003866	0.089912782
a24	0.178618290432	0.640846218	0.180535489306
a31	0.2200891543	0.6256931084	0.154217743
a18	0.25733326186	0.666847314	0.0758194183
a31	0.2505379352	0.64494186	0.10452019148
a37	0.266196768	0.51090788	0.2228953646
a31	0.191237948	0.748073852	0.0606881964
a20	0.30350606	0.600976488	0.0955174438
a41	0.355575036	0.538970046	0.1054549508
a31	0.327951622	0.510197122	0.161851254
a35	0.2864126064	0.497416872	0.2161704988
</S>	0.406786368	0.345452814	0.247760824
