 	l	ho	sentito	che	viene	</S>
a34	0.67497732552	0.05445787348	0.19902222074	0.014827919624	0.005391807072	0.051322892804
a46	0.41918455426	0.31170201966	0.199927502671	0.0086443117812	0.0021023201449	0.058439296622
a41	0.19539387874	0.402988033246	0.206203950814	0.18642125218	0.0032176762234	0.00577522393016
a19	0.45894020214	0.1592649691	0.0348354479412	0.19354000436	0.00847809838	0.144941254923
a31	0.28482480526	0.124113818	0.0397881332	0.2164238716	0.29376368	0.04108567124
a20	0.266574673	0.0595390646	0.0598957568	0.289221474	0.245825447	0.078943534
a31	0.234540804	0.0683750815	0.0471970094	0.1405979188	0.293587872	0.215701331
a24	0.17492922108	0.0367218701	0.0636391496	0.1539314944	0.33328818	0.237490102
a31	0.1382432144	0.0747799166	0.0538350248	0.0998614568	0.39132383	0.24195656
a23	0.090273824634	0.07419337794	0.0771518166	0.130956141	0.369520864	0.257903983
a20	0.1033867836	0.0860673654	0.1554991732	0.177078572	0.23160287	0.2463652148
</S>	0.1759572352	0.1701810752	0.153026622	0.13384553	0.161070902	0.205918622
