 	vuole	bianco	</S>
a20	0.4208108976	0.41664279392	0.162546316537
a31	0.480566268	0.43605369634	0.083380031424
a11	0.3264084138	0.5856913908	0.087900185244
a31	0.2675324684	0.676430409	0.0560371109286
a39	0.406469086	0.5168145	0.0767163756526
a20	0.2180670864	0.724934584	0.056998306806
a31	0.1813868624	0.803078792	0.0155343543
a39	0.2056367076	0.714711776	0.079651491448
a46	0.201011907	0.67679787	0.122190223652
a24	0.206586177	0.698530832	0.09488300318
a46	0.256141934	0.61875824	0.1250997818
</S>	0.279810766	0.575806056	0.1443832194
