 	non	ha	da	mangiare	</S>
a31	0.2268659518	0.17926732944	0.04058940066	0.392011612714	0.161265721492
a20	0.18845998544	0.253055202	0.023055833285	0.47179266006	0.063636308768
a31	0.29134095824	0.03043436018	0.006117493768	0.64169055188	0.030416680056
a41	0.4668563026	0.2000812018	0.115023593224	0.2050861928	0.012952731586
a10	0.2953925212	0.29104547716	0.08552860844	0.316426822286	0.011606543222
a31	0.163827684	0.3261221192	0.195955549192	0.288148188	0.02594643312
a15	0.3803618136	0.3528126296	0.10466601273	0.1302253742	0.03193416192
a31	0.1262868504	0.142041398	0.17712985098	0.42099464	0.133547224
a39	0.2115186428	0.160820594	0.15159737076	0.2240168654	0.252046524
a37	0.2766145868	0.271766252	0.149615494	0.157318332	0.1446853488
</S>	0.270860942	0.224645356	0.162353738	0.142398696	0.1997412746
