 	la	casa	la	costruiscono	i	muratori	</S>
a31	0.456290598604	0.042528031324	0.02918552453	0.058387825613	0.10491381814	0.24736959148	0.061324647
a18	0.23792021826	0.1307260012	0.133183072956	0.09942194	0.272403156	0.0509265924	0.075419027
a31	0.0700960706	0.25823613812	0.018714139576	0.14163561666	0.3992412416	0.0304819067	0.0815948768
a20	0.117192929402	0.2660937908	0.06465030672	0.2037518684	0.262141732	0.0224291178	0.063740238
a31	0.071267469512	0.22483818076	0.02280457928	0.1121094986	0.355732524	0.08461007196	0.12863769452
a37	0.13231407716	0.20992719076	0.0381321743	0.08875868306	0.451576414	0.0463274258	0.03296405038
a18	0.14716295466	0.11803708136	0.0154873651054	0.1007667182	0.424148566	0.10139837434	0.09299891592
a46	0.186377532	0.102291297281	0.0271768442647	0.1196326828	0.352489192	0.082063119	0.12996936
a31	0.0932028338	0.0981564345	0.053303612948	0.1660839258	0.32066058	0.154789396	0.11380318214
a46	0.0840203634	0.08837636128	0.19039466898	0.19648458972	0.228361388	0.129509917	0.0828527078
a31	0.112872539	0.1415840296	0.073292301	0.25532493	0.18755298	0.119396692	0.1099765326
a46	0.0900542986	0.1181115318	0.2180092461	0.19274676478	0.118297982	0.1718661294	0.0909140858
a31	0.139949036	0.1496396654	0.093618785	0.270026128	0.135226354	0.1117007206	0.0998393012
a46	0.09895948808	0.1429035074	0.20514686972	0.19819685394	0.120716941	0.1497723474	0.0843040072
a31	0.147585712	0.14986885	0.1039173626	0.282416794	0.1216010862	0.1013252256	0.0932849868
a18	0.1186814908	0.1583254774	0.1756808268	0.1606656048	0.159350988	0.1292987386	0.0979968956
a31	0.165925344	0.172441208	0.122756829	0.197887638	0.125682962	0.1119856428	0.1033203578
a37	0.13368904028	0.139630356	0.137539767	0.1465811988	0.188861674	0.125774813	0.1279231582
a13	0.170424722	0.193949656	0.1315589462	0.170483832	0.122513183	0.111029346	0.1000402998
a31	0.17583644	0.157878886	0.1208149788	0.170021574	0.130877954	0.140286818	0.1042833382
a20	0.17244905274	0.142747993	0.1068963096	0.1286506924	0.1554587172	0.122994192	0.170803053
a31	0.184976876	0.17432417	0.137734502	0.1623596	0.125600535	0.117070272	0.0979340054
a20	0.18165086044	0.1208334942	0.1137542848	0.146980825	0.14453309	0.1371149948	0.155132439
a31	0.179107828	0.166026406	0.142369372	0.17869745	0.126763605	0.112607257	0.094428048
a20	0.20374564305	0.1136544236	0.1087560112	0.142017112	0.1365493346	0.1392702428	0.1560072174
</S>	0.167523006	0.162499584	0.14424965	0.183951214	0.131231396	0.1150506072	0.0954945408
