 	ha	potuto	entrare	dalla	finestra	</S>
a46	0.487048613252	0.231617058844	0.043838655	0.06255000784	0.16962086409	0.00532482274
a31	0.423488576108	0.14071039393	0.116957517	0.265152542	0.03941425386	0.01427667166
a8	0.1340862146	0.0492815312894	0.526773836	0.2301495976	0.053321979962	0.00638686642
a31	0.34221488062	0.11680471853	0.206158326	0.244102392	0.074571942814	0.01614775124
a15	0.38363900258	0.10481586356	0.25909916156	0.12560638864	0.109073886939	0.01776572582
a13	0.35712478612	0.0715255522288	0.26405154384	0.05820394284	0.0252426675	0.22385147344
a24	0.3649226392	0.1720278381	0.1507859334	0.06538147508	0.0345502495	0.2123318705
a31	0.46051097918	0.0607178552	0.100091997	0.1519345864	0.11240427984	0.1143403
a18	0.527502623188	0.08370276186	0.1069958212	0.21717353552	0.011417006394	0.05320832428
a31	0.50933461776	0.0370637288	0.06337704104	0.2370123882	0.0773361118	0.0758761307
a20	0.218802438344	0.10725889556	0.1367433824	0.2796414612	0.076536638	0.1810171878
a11	0.4579915802	0.0532887654	0.0594966706	0.261447482	0.076735272	0.0910402298
a8	0.2568597456	0.1156897998	0.149149382	0.1253521272	0.2056023736	0.147346564
a31	0.230451979	0.1026854864	0.1674124	0.214112686	0.1569774624	0.1283599932
a8	0.13413932874	0.09101245	0.213341382	0.148611634	0.149216346	0.2636788716
a31	0.293035998	0.1120685124	0.129785174	0.224139444	0.1358143224	0.1051565352
</S>	0.1471967692	0.140265614	0.195471208	0.162330476	0.167672628	0.187063326
