 	sto	ancora	cucinando	</S>
a20	0.1353284462	0.1914234871	0.4769479937	0.196300079
a31	0.18931439656	0.131784085716	0.5270428692	0.151858660352
a37	0.288632863844	0.242857563	0.38944295748	0.079066603156
a20	0.191038470944	0.07942140568	0.5434637784	0.186076388596
a31	0.099319937128	0.1450756678	0.600534982	0.155069402932
a30	0.277713638	0.1040482758	0.4657112256	0.152526852028
a46	0.2936300588	0.23527747	0.4169394794	0.054153008872
a31	0.309425618	0.190802838	0.279718796	0.22005273778
a39	0.1351521334	0.129331738	0.652003148	0.083512977
a15	0.592264966	0.1064557688	0.182437645	0.1188416152
a20	0.666574766	0.1454594922	0.117513289	0.07045244842
a22	0.616548624	0.120548804	0.152859636	0.1100429046
a31	0.545772074	0.1513391752	0.171258844	0.1316298826
a46	0.26914068	0.2209216348	0.358833904	0.1511037608
</S>	0.361715276	0.218158914	0.20970824	0.210417566
