 	l	ha	scritta	</S>
a20	0.5144485449	0.03906046034	0.2436616062	0.202829379304
a31	0.2954656208	0.15049192837	0.4638334516	0.0902090220864
a35	0.32121070142	0.0370692354	0.6338960306	0.007824041234
a31	0.3072773528	0.068827288634	0.583444354	0.040451039838
a35	0.2053026228	0.19988818442	0.580704676	0.014104520344
a31	0.200827226	0.25087903516	0.460275484	0.08801827487
a41	0.375363524	0.31930088884	0.2762530568	0.029082576628
a31	0.198533926	0.26353718944	0.395952254	0.141976621548
a11	0.3442821088	0.1167096879	0.293674716	0.24533348786
a18	0.357241998	0.2516769259	0.169577667	0.2215034238
a13	0.351538046	0.24964809752	0.211360938	0.1874529162
</S>	0.269176732	0.2740566964	0.2805920148	0.176174542
