 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
a48	0.0199097287032	0.000836460897046	0.0007837619346	0.0075792748464	0.0166422707834	0.0133433809269	0.085252174416	0.0240361307326	0.0325495155851	0.175884631682	0.459968468	0.163214192629
a31	0.034375853314	0.0135657576157	0.048415816706	0.02720991356	0.01019258448	0.016391926334	0.04409141016	0.064386543252	0.059622474736	0.169357045	0.5071896038	0.0052010626548
a0	0.190554422535	0.00535293519661	0.0163698229292	0.0536773086954	0.003989730732	0.0067887786598	0.077164753296	0.109908064804	0.0455242613306	0.10233667777	0.3803454442	0.00798781344
a37	0.0325141317846	0.0111644898191	0.0050873438606	0.003354639007	0.003419715216	0.0082364293304	0.057518525348	0.0717127957484	0.0373977474531	0.15728328996	0.6051084566	0.00720239002
a25	0.0010576212545	0.00332595839556	0.00128120736482	0.0025736465894	0.0030931698	0.01288415609	0.036756982386	0.058152163724	0.0709994829	0.3709390614	0.3968032572	0.04213325152
a31	0.048300302398	0.080833869907	0.036858192286	0.045042571176	0.04401005494	0.02844464518	0.02682906242	0.029017786346	0.037638860274	0.1664822718	0.445754028	0.0107883532944
a3	0.19101337588	0.0141140232888	0.0293902512096	0.04179371632	0.0866832004	0.04438245838	0.063931866832	0.0411702178	0.02063096227	0.2591372479	0.2047190514	0.003033619136
a20	0.085258630236	0.057553906	0.02880614808	0.07510543	0.0757007038	0.0447708342	0.03954221808	0.03325852764	0.0418220479	0.220504027	0.2882462952	0.009431247572
a24	0.097523225964	0.0604236380984	0.0260383466232	0.04267633178	0.0409745806	0.03453703308	0.02479298407	0.02850616732	0.03139773718	0.1840278088	0.4166722202	0.0124299188072
a18	0.097370312636	0.064190333053	0.0304204309268	0.05617078114	0.0537301402	0.0370231654	0.02490334922	0.02404731222	0.03218285128	0.1173377069	0.4503937112	0.0122298952128
a31	0.09641370904	0.0550334397	0.0305386522624	0.04812257832	0.1329557448	0.0949587788	0.055665244	0.0399637662	0.0377202532	0.062685347	0.3308292932	0.0151132181
a28	0.06442545072	0.044376862872	0.032038203412	0.055068964	0.0764944882	0.0887493528	0.094383096	0.04734963036	0.0342742738	0.1642118344	0.2633529486	0.03527488039
a37	0.07398344416	0.0382463639692	0.0312270872872	0.039195833019	0.0754315916	0.05718173666	0.04813826222	0.04853533912	0.043124148	0.0591126576	0.4522002244	0.033623318906
a31	0.0967600418	0.04911490242	0.032254379076	0.04741016446	0.0952260188	0.1149903676	0.0984745836	0.1056702232	0.1048445836	0.0709140082	0.1629431214	0.02139760724
a20	0.09466456224	0.0445921966	0.03260018084	0.0626063198	0.0920649106	0.086647672	0.102067478	0.0898528654	0.0691248304	0.1331012844	0.144620018	0.04805768126
a13	0.23970499372	0.04534365438	0.03162984382	0.037514006482	0.0846637868	0.0600579652	0.0563953142	0.0542503722	0.0533780764	0.0650523482	0.2452388514	0.02677079792
a20	0.1677021332	0.05016928314	0.03853977632	0.0524362493	0.0756498052	0.0622178272	0.0752557616	0.13806113	0.102782776	0.0724221336	0.1367379174	0.0280252074
a31	0.0647280212	0.04601636272	0.038440530744	0.04312755376	0.078893261	0.1178134984	0.1382846088	0.1081873368	0.104017392	0.1114466172	0.1198161288	0.029228662
a44	0.0779252198	0.026767345108	0.0270629165	0.05202493038	0.060340492	0.0903452042	0.127341397	0.096189396	0.0827997632	0.168238316	0.1641941952	0.02677083574
a31	0.1231377314	0.0573048058	0.0538656358	0.0499100522	0.0717190576	0.088472038	0.097652167	0.0714170012	0.0491238156	0.0571011146	0.2199186824	0.0603778294
a23	0.0536612737	0.03128217296	0.03511706992	0.06219443408	0.05545575026	0.0762479628	0.09102451226	0.2218302648	0.1095685692	0.0726749936	0.1391101488	0.0518328778
</S>	0.115962862	0.0742512668	0.0639021716	0.0642859876	0.081892964	0.0826666356	0.0697286074	0.077580912	0.0635549406	0.0641833954	0.1417026308	0.1002876146
