 	forse	stanno	ancora	svegli	</S>
a31	0.07865828702	0.31574894904	0.1403949236	0.443260118	0.0219376996
a10	0.08719290612	0.323253254	0.2766512492	0.265148184	0.04775438292
a20	0.00992606834	0.0529961825	0.222544163	0.5324802762	0.18205330984
a31	0.01224133364	0.143292912	0.1397101116	0.45955808932	0.245197533476
a18	0.0970454302	0.4626273454	0.2669253392	0.1665025708	0.006899310924
a31	0.0814182998	0.2481712494	0.221047976	0.32450521756	0.124857225492
a35	0.16969220656	0.449375917	0.230928354	0.1077146487	0.04228889366
a31	0.1426680892	0.145504215	0.20103535	0.1922203558	0.31857200298
a10	0.1693957118	0.1414080112	0.204394218	0.263118428	0.2216836304
a20	0.0466483328	0.178588304	0.268415752	0.2421812784	0.2641663082
a29	0.0648201282	0.2059195032	0.2016341244	0.3157552716	0.211870956
a20	0.0778136702	0.129867579	0.226225426	0.365920914	0.200172406
a31	0.1324017302	0.1153230252	0.176058128	0.356184046	0.220033122
a28	0.1061644518	0.1104083528	0.256596942	0.282853168	0.243977104
a8	0.168714258	0.306953168	0.210259312	0.198865628	0.115207666
a21	0.199638046	0.231191582	0.213176988	0.234361158	0.1216321884
</S>	0.213800248	0.184956206	0.184276148	0.226644516	0.190322882
