 	questa	canzone	ee	l	ha	scritta	un	poeta	</S>
a8	0.1575756864	0.13737824096	0.308588827	0.120775595	0.04407152256	0.0384339314	0.0858946308	0.056688085856	0.05059347716
a23	0.18757733868	0.0032649493694	0.31049642146	0.06325661488	0.019460704388	0.0758718122	0.29470042068	0.030687935144	0.01468380162
a31	0.0847776317192	0.014234394212	0.04812642048	0.0408978888488	0.0681389039508	0.129776946	0.30448008566	0.125056012812	0.184511697
a28	0.00575048534	0.00942892297876	0.153820807414	0.04864101376	0.0100321329047	0.221321517	0.317678659	0.16725871012	0.06606775686
a20	0.0972235498336	0.0020815649502	0.06323882755	0.009339864166	0.0815832413264	0.1578532336	0.3757247106	0.1760066302	0.0369483324
a31	0.053234218384	0.001309913599	0.15287182812	0.0130423976	0.069186610618	0.1241204688	0.442594547	0.10559841324	0.0380415956
a8	0.00507182154	0.00146519596893	0.101892061202	0.0613173162	0.0282987686984	0.3138867424	0.4127552584	0.05720336532	0.0181094768
a31	0.06702484572	0.001309631468	0.1292113548	0.03663017806	0.068366803938	0.1054297612	0.433189276	0.09416108792	0.06467708172
a20	0.12836571976	0.0488561460034	0.245997539	0.0681365324	0.03844946885	0.162189286	0.2298925311	0.0668805502	0.01123220548
a31	0.0507034104	0.002020020844	0.11287544632	0.047530584128	0.048261596106	0.12193018328	0.448686708	0.0968226616	0.0711694211
a36	0.2181991944	0.033065225444	0.2033404716	0.0734092018	0.0388644948	0.162863214	0.195576164	0.0635913078	0.01109073392
a24	0.0899682424	0.00619352374	0.1257625674	0.06499218656	0.05129379786	0.1482193938	0.307597658	0.0800146212	0.125958034
a37	0.13121381486	0.01171179655	0.171362425106	0.073917699124	0.0317964704	0.1221896942	0.3269984164	0.0751548136	0.055654883
a27	0.0655293966	0.01445951006	0.3612118718	0.0929878708	0.033139769908	0.1639424232	0.183066328	0.0591565424	0.02650631596
a8	0.0438492124	0.0174291831	0.4348975122	0.05239567872	0.02641700096	0.1777222316	0.1601092514	0.05375837672	0.0334215265
a23	0.0276096842	0.01170651272	0.3762988132	0.0868893902	0.05804198289	0.22542619	0.125940961	0.0537888352	0.034297594668
a31	0.0465928894	0.024396212	0.2686905892	0.1024528168	0.0669294308	0.250716838	0.154895094	0.05277475988	0.03255132894
a37	0.1628630656	0.033468707132	0.1626338122	0.11263938	0.0764991838	0.210318096	0.0925295608	0.11898282524	0.030065349
a29	0.09977173884	0.0615527536	0.2532868654	0.0564707848	0.039619747826	0.22224550872	0.1363790516	0.0875216952	0.04315181542
a31	0.0531104356	0.092199479	0.305162207	0.111982518	0.06216301588	0.1784137748	0.081207206	0.07067005848	0.04509130012
a13	0.11503967744	0.04202902386	0.1574055468	0.1592992252	0.0655456408	0.1848855384	0.0913263792	0.1506631486	0.0338058152
a31	0.162492472	0.119041228	0.1207353144	0.10239346	0.06264989802	0.141096452	0.143087323	0.0962108128	0.0522930232
a8	0.1083892404	0.0714584548	0.1083517964	0.0644940476	0.0641915128	0.199045518	0.1034804616	0.1827567212	0.097832235
a31	0.1605893324	0.1125434076	0.0968375911	0.0928643914	0.07859057	0.1097015136	0.156548056	0.111156806	0.0811683612
a21	0.1484413862	0.1113266654	0.1370195166	0.0611489926	0.05894765732	0.1198885	0.103623642	0.147571414	0.1120322306
a31	0.1303350284	0.1880742702	0.0869854892	0.1150256476	0.0966546244	0.0905053832	0.110267032	0.0951635732	0.0869889696
a29	0.11089450272	0.119126784	0.1384412428	0.069093313	0.064251213	0.152033618	0.106617388	0.118464318	0.1210775812
a31	0.1334091416	0.214863361	0.0919231176	0.1122429416	0.085830984	0.0865723832	0.102098434	0.0901452712	0.0829143498
a46	0.09872731652	0.1252563028	0.106229398	0.0821891288	0.0721023746	0.18350842	0.1033684532	0.1002608728	0.128357746
a31	0.1318318508	0.180516734	0.0963095756	0.1455238566	0.0991592622	0.0790794368	0.09207602	0.0893376796	0.0861655693
a49	0.1029926046	0.145602362	0.1110468422	0.086331534	0.0806031908	0.151255227	0.1037062668	0.0955323954	0.1229295644
a3	0.1312834132	0.194698717	0.1060715072	0.143529629	0.089972836	0.0783869408	0.0897546188	0.0853554022	0.0809468972
a18	0.160376869	0.182773832	0.1222171352	0.1175496784	0.086890401	0.0867747336	0.08793007	0.0811793342	0.074307982
a31	0.158852978	0.15988491	0.120268706	0.1081200688	0.094325378	0.0813381756	0.1045298828	0.095315771	0.0773640868
a8	0.0941201664	0.124341568	0.130971105	0.0738353974	0.0621579496	0.1150457996	0.17713926	0.116729904	0.1056588302
</S>	0.158417317	0.159554068	0.1308567	0.134510736	0.1104707104	0.0673670122	0.0922983648	0.0740651752	0.0724599266
