 	si	è	rotta	la	coppa	</S>
a31	0.188977680666	0.0824323135697	0.397882594991	0.0047134490502	0.0855517795632	0.240442149596
a20	0.2396495436	0.0346457634632	0.4058234021	0.165765257154	0.121080927278	0.033035162972
a19	0.394805673092	0.005488363357	0.40107914986	0.0121534336598	0.184683929914	0.001789497524
a18	0.451722822	0.0294824189032	0.45189650992	0.0377249258968	0.0103932678	0.018780018068
a27	0.4793826562	0.0191998335	0.35318226514	0.06171009566	0.02147593284	0.0650492569
a31	0.2266303218	0.0218909202	0.3788492372	0.15497273	0.1183307638	0.09932611084
a39	0.1795581106	0.040870541	0.157366172	0.2215914284	0.1846139904	0.2159997832
a31	0.1667928974	0.0544323204	0.233121494	0.2008260332	0.1242397988	0.2205875092
a46	0.130804103	0.154776358	0.181351762	0.157477572	0.1768884578	0.198701748
a31	0.136129992	0.1019267654	0.17636215	0.150660482	0.241869994	0.1930506132
a20	0.129703836	0.162958684	0.20691336	0.173326268	0.1626053348	0.164492492
</S>	0.18257805	0.133871926	0.138532859	0.14795019	0.256552366	0.140514637
